	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	featureData.symbol
ENSG00000038210	3.108129953	2.042892072	0.481916278	4.239101612	2.24E-05	0.000653447	PI4K2B
ENSG00000112773	5.185228883	1.694626538	0.402381188	4.211495441	2.54E-05	0.000731501	FAM46A
ENSG00000007264	6.402043525	-1.390658773	0.332279115	-4.185212704	2.85E-05	0.000813943	MATK
ENSG00000011590	1.590396482	2.336023336	0.559669105	4.173936552	2.99E-05	0.000850873	ZBTB32
ENSG00000170581	2.545692374	1.771521531	0.425065677	4.167641915	3.08E-05	0.000870541	STAT2
ENSG00000144118	2.133192814	1.987313307	0.47867622	4.151685885	3.30E-05	0.000920379	RALB
ENSG00000120539	1.404154209	2.260650905	0.547564432	4.128556882	3.65E-05	0.001008549	MASTL
ENSG00000185880	6.435520112	1.360127937	0.330670082	4.113247642	3.90E-05	0.001072862	TRIM69
ENSG00000017483	5.193734894	1.590097923	0.387747019	4.100864337	4.12E-05	0.001126711	SLC38A5
ENSG00000163568	9.993654607	1.568018884	0.385277875	4.069838901	4.70E-05	0.001258789	AIM2
ENSG00000107798	6.054908309	1.40589056	0.349287501	4.02502396	5.70E-05	0.001510709	LIPA
ENSG00000173786	3.312196759	1.590694797	0.395112484	4.025928978	5.68E-05	0.001510709	CNP
ENSG00000165949	7.873043999	1.901585782	0.474472038	4.007793147	6.13E-05	0.001618023	IFI27
ENSG00000105287	3.689023388	1.629371224	0.409357622	3.980312411	6.88E-05	0.001793066	PRKD2
ENSG00000085117	8.49444101	-1.288905196	0.324074773	-3.977184601	6.97E-05	0.001808873	CD82
ENSG00000165806	4.278753732	1.449235316	0.366469058	3.954591212	7.67E-05	0.001971402	CASP7
ENSG00000160404	4.016436454	-1.539904107	0.393253108	-3.915809118	9.01E-05	0.002297009	TOR2A
ENSG00000114541	6.920559715	1.834875352	0.470102531	3.903138642	9.50E-05	0.002400096	FRMD4B
ENSG00000111863	3.787285248	1.894238275	0.48580361	3.899185257	9.65E-05	0.002419031	ADTRP
ENSG00000213512	2.851368471	1.673435403	0.430361367	3.888442434	0.00010089	0.002507465	GBP7
ENSG00000127824	16.56789979	-1.052493169	0.271318922	-3.879173486	0.000104812	0.002572658	TUBA4A
ENSG00000172936	4.44306501	1.413179925	0.364724426	3.874651171	0.000106778	0.002610118	MYD88
ENSG00000070190	1.794512429	1.951674547	0.511100092	3.818576002	0.000134224	0.003214887	DAPP1
ENSG00000110492	1.444551237	2.190664895	0.576247586	3.801603594	0.000143763	0.0034158	MDK
ENSG00000112096	13.25967856	1.000259172	0.263370061	3.797922845	0.000145914	0.003453098	SOD2
ENSG00000065911	9.59337607	1.294821265	0.341300209	3.793789842	0.000148365	0.003497181	MTHFD2
ENSG00000168016	2.947320181	1.673725224	0.446139089	3.751577176	0.000175726	0.004093374	TRANK1
ENSG00000169871	2.253162742	1.680804736	0.448993847	3.743491688	0.000181481	0.004194532	TRIM56
ENSG00000121060	2.056166659	1.714441564	0.460432512	3.723545839	0.000196444	0.004522784	TRIM25
ENSG00000064886	1.935773901	1.855600395	0.498726955	3.72067396	0.000198692	0.004539344	CHI3L2
ENSG00000169660	1.442204173	2.008855625	0.54024185	3.718437634	0.000200459	0.004562165	HEXDC
ENSG00000149212	5.471321225	-1.490912604	0.401192309	-3.716204349	0.000202238	0.004585091	SESN3
ENSG00000064601	6.583313996	-1.134383101	0.308546542	-3.676538042	0.000236421	0.00529939	CTSA
ENSG00000137198	1.737203741	2.06964046	0.563533278	3.672614451	0.000240082	0.00536122	GMPR
ENSG00000127311	1.879381993	2.016472868	0.550470663	3.663179533	0.000249104	0.005500657	HELB
ENSG00000111843	5.763066383	-1.168030441	0.320244528	-3.647308039	0.000265002	0.005787179	TMEM14C
ENSG00000111537	3.76938878	1.862844223	0.5117279	3.640302244	0.000272318	0.00590354	IFNG
ENSG00000132329	2.884399434	-2.028303686	0.559971781	-3.622153392	0.000292161	0.006287808	RAMP1
ENSG00000197121	2.83074247	1.65115098	0.456033227	3.620681307	0.000293828	0.006300866	PGAP1
ENSG00000026103	4.020656413	1.274220911	0.355758607	3.581700868	0.000341365	0.007190444	FAS
ENSG00000167106	5.049738152	-1.225679814	0.343225498	-3.571062819	0.000355536	0.007462479	FAM102A
ENSG00000110057	1.557246834	1.90881935	0.535748475	3.56290207	0.000366778	0.007617687	UNC93B1
ENSG00000115607	2.078101182	1.624660129	0.459970057	3.532099762	0.000412274	0.008473724	IL18RAP
ENSG00000169429	2.453331557	-1.658665814	0.477842686	-3.471154547	0.000518226	0.010295185	IL8
ENSG00000131979	2.676586868	1.480890868	0.427352252	3.465269836	0.0005297	0.010418597	GCH1
ENSG00000109062	6.962065905	-1.00058261	0.288927155	-3.463096464	0.000533997	0.010468454	SLC9A3R1
ENSG00000184613	4.096953608	-1.398344173	0.404864817	-3.453854502	0.000552635	0.010798206	NELL2
ENSG00000155287	1.453583668	1.896166374	0.549326098	3.451804637	0.000556851	0.010844897	SLC25A28
ENSG00000135148	2.265575131	1.572020037	0.456704098	3.442097504	0.000577222	0.011204901	TRAFD1
ENSG00000168564	4.339551334	-1.238704274	0.362776784	-3.414508121	0.000638973	0.012243545	CDKN2AIP
ENSG00000132256	2.295959215	1.822456942	0.54243964	3.359741446	0.000780154	0.014664929	TRIM5
ENSG00000151498	2.912197386	-1.485692244	0.447174885	-3.322396436	0.000892478	0.016515012	ACAD8
ENSG00000187741	2.003063561	1.62849297	0.494437424	3.293628051	0.000989033	0.018132268	FANCA
ENSG00000122783	2.413448097	-1.571471514	0.479332972	-3.278454869	0.001043771	0.018986373	C7orf49
ENSG00000001629	2.353545679	1.555656855	0.476677348	3.263542651	0.001100286	0.019925915	ANKIB1
ENSG00000162639	4.820064318	-1.111868925	0.342046723	-3.250634637	0.001151477	0.020663974	HENMT1
ENSG00000113441	4.823204451	1.145039857	0.352729845	3.246223348	0.001169471	0.020923659	LNPEP
ENSG00000110944	2.715011655	-1.620200567	0.500309252	-3.238398175	0.001202029	0.021377406	IL23A
ENSG00000132199	2.979191252	-1.543147134	0.477540461	-3.231447927	0.001231648	0.021745816	ENOSF1
ENSG00000185669	2.907257299	-1.385876587	0.432093005	-3.207357148	0.001339606	0.023199003	SNAI3
ENSG00000075131	1.608937072	1.619554664	0.515302829	3.142918248	0.001672726	0.028307662	TIPIN
ENSG00000140511	4.942631642	1.611660217	0.513096495	3.14104702	0.00168345	0.028408219	HAPLN3
ENSG00000132832	1.386372614	1.665059165	0.531534277	3.132552759	0.001732933	0.029003508	RP11-445H22.3
ENSG00000170545	4.532461848	1.126286239	0.360418276	3.124942083	0.001778401	0.029673315	SMAGP
ENSG00000103811	3.045676389	-1.578133186	0.505656495	-3.120958995	0.001802631	0.029993362	CTSH
ENSG00000123130	4.122181645	1.085815118	0.35029885	3.099682223	0.001937284	0.031965181	ACOT9
ENSG00000253982	3.8107824	-1.416392548	0.457191764	-3.09802726	0.001948135	0.032055187	CTD-2336O2.1
ENSG00000196284	2.014003621	1.434431983	0.463511832	3.094704132	0.001970093	0.032326943	SUPT3H
ENSG00000155158	2.068752852	1.512496214	0.489859856	3.087610046	0.00201773	0.032926701	TTC39B
ENSG00000115419	3.96132352	1.396092663	0.454327827	3.072875095	0.002120072	0.034220728	GLS
ENSG00000057657	2.204407542	1.602415816	0.523313902	3.062054744	0.002198232	0.035290543	PRDM1
ENSG00000124406	3.197410768	-1.24973165	0.410339474	-3.045604259	0.002322133	0.036979805	ATP8A1
ENSG00000154122	4.606481259	-1.031515985	0.339903621	-3.034730795	0.002407505	0.037832217	ANKH
ENSG00000012822	2.446437411	-1.411400375	0.466398363	-3.026169226	0.002476736	0.038613686	CALCOCO1
ENSG00000178773	4.441500967	-1.324779236	0.438840112	-3.018819836	0.002537614	0.039253715	CPNE7
ENSG00000156171	4.442781479	-1.093250799	0.365524141	-2.990912709	0.00278145	0.042692022	DRAM2
ENSG00000171148	3.977055593	-1.022556741	0.342571175	-2.98494682	0.002836276	0.043088187	TADA3
ENSG00000188603	3.453529636	-1.293975081	0.434474077	-2.978256125	0.002898936	0.043815983	CLN3
ENSG00000177989	1.653252188	1.622123602	0.545354197	2.974440486	0.002935234	0.043917605	ODF3B
ENSG00000165071	4.416758549	-1.098248818	0.369429335	-2.972825149	0.002950725	0.044038457	TMEM71
ENSG00000138376	1.563190279	1.476077702	0.496916724	2.970472978	0.002973416	0.044254241	BARD1
ENSG00000170989	3.454442643	-1.152569316	0.38963385	-2.95808312	0.003095586	0.045740754	S1PR1
ENSG00000180008	1.874250954	-1.678192179	0.569490256	-2.946832123	0.003210474	0.047086959	SOCS4
ENSG00000112079	2.414830172	-1.21315161	0.412783274	-2.938955348	0.003293205	0.047895127	STK38
ENSG00000130560	2.297753496	-1.480802405	0.503758599	-2.939507948	0.003287338	0.047895127	UBAC1
ENSG00000205707	2.370886504	-1.230973427	0.42193914	-2.917419385	0.003529409	0.050885164	LYRM5
ENSG00000163947	4.034618413	1.128517289	0.387143125	2.914987294	0.00355703	0.051159224	ARHGEF3
ENSG00000163563	1.201199295	2.282584367	0.605909141	3.767205692	0.000165085	NA	MNDA
ENSG00000112242	1.138537393	1.812951949	0.577696432	3.138243284	0.001699637	NA	E2F3
ENSG00000095585	1.226220665	1.732874161	0.581130487	2.981902001	0.002864637	NA	BLNK
ENSG00000108510	1.113240502	1.649935371	0.555804308	2.968554484	0.002992041	NA	MED13
ENSG00000205643	1.314670983	-1.955277539	0.583030711	-3.35364416	0.000797549	NA	CDPF1
