	Repeatability	Repeatability SE	Fixed r^2	Fixed r^2 SE	cis Heritability	cis Heritability SE
TNFSF15	0	0	2.25E-05	0.000171323	0.01228	0.073849
TRAF3IP2	0	0	2.42E-05	0.0002146	-0.056149	0.023704
TSPAN13	0	0	4.97E-06	1.73E-05	0.132633	0.099283
TWIST1	0	0	2.33E-05	0.000206997	0.032257	0.078378
UBE2E1	0	0	1.53E-05	0.000129567	-0.048483	0.043116
UBE2N	0	0	3.12E-05	0.000287619	0.036329	0.084091
UNC5C	0	0	1.79E-05	0.000145142	0.535767	0.097792
UNKL	0	0	1.07E-05	9.01E-05	0.016438	0.067961
UST	0	0	2.73E-05	0.000249673	0.075042	0.089969
VAV2	0	0	8.16E-06	2.52E-05	0.068379	0.103701
VCAM1	0	0	1.06E-05	3.25E-05	0.29032	0.104764
ZFP57	0	0	2.71E-05	0.000238775	0.713089	0.073244
MAMLD1	1.22E-05	0.000115295	9.84E-06	7.28E-05		
GNAS	4.05E-05	0.00038233	1.11E-05	2.04E-05	0.187037	0.116469
FAS	4.47E-05	0.000421616	2.44E-05	0.00020339	0.066965	0.085315
TLR6	6.43E-05	0.000606656	4.94E-06	2.41E-05	0.108094	0.092001
IL18	8.98E-05	0.000756799	1.62E-05	0.000118616	-0.014141	0.042713
MX1	9.05E-05	0.00085335	2.73E-05	0.000228732	0.143398	0.120513
GAPDH	0.000103363	0.000975128	6.51E-05	0.000590598	0.081712	0.093044
TLR1	0.000111398	0.001050924	8.22E-06	3.38E-05	0.195497	0.103907
CYP27B1	0.000126227	0.00119082	1.84E-05	0.000136765	0.072651	0.069857
DTX4	0.000138943	0.001208529	6.73E-06	2.30E-05	0.199033	0.093624
CCL1	0.000145111	0.001368976	1.55E-05	0.000119091	0.000901	0.084832
GCOM1	0.000149546	0.001410811	2.17E-05	0.000170187	0.04701	0.075283
CKB	0.000165633	0.001120316	2.13E-05	0.000160973	0.03324	0.065267
ZFY	0.000180443	0.001207016	5.13E-06	1.95E-05		
EAF2	0.000203215	0.001726249	8.05E-06	1.96E-05	0.067222	0.068849
KCTD14	0.000252149	0.002378765	7.70E-06	2.75E-05	0.041903	0.062891
PTX3	0.000254439	0.001689144	1.81E-05	0.000129777	0.026452	0.060162
MAPK8	0.000260537	0.002457904	6.46E-06	1.24E-05	0.066878	0.07502
TNIP3	0.000271176	0.001636127	2.11E-05	0.000171568	0.015206	0.065505
TAB1	0.000280096	0.002027568	5.32E-06	1.08E-05	-0.044965	0.028914
NT5DC2	0.000284518	0.001556592	7.02E-06	1.50E-05	0.150167	0.088219
SLC7A5	0.000302994	0.002858438	2.43E-05	0.000180669	-0.03229	0.066685
FOS	0.00037433	0.002495178	2.11E-05	0.00015624	0.043011	0.07108
AIM2	0.000464287	0.003610561	5.94E-06	1.09E-05	0.001919	0.0655
STAT4	0.000482085	0.00454798	2.04E-05	0.00014134	0.138225	0.091671
ANXA3	0.000504436	0.004758843	1.87E-05	0.000130666	0.130533	0.08438
NRIP3	0.000536869	0.003477952	8.98E-06	4.04E-05	0.051984	0.069576
HMBS	0.000594066	0.004169361	2.39E-05	0.000194297	0.161903	0.095974
LRP12	0.000689362	0.003813538	1.71E-05	0.000112776	0.116056	0.083403
ZNF513	0.000711907	0.00486099	7.62E-06	3.96E-05	-0.001999	0.035248
SPRY2	0.000831972	0.004410079	1.92E-05	0.000149494	0.139594	0.088878
MAVS	0.000849499	0.005970334	5.30E-06	6.95E-06	0.095021	0.101422
ATG9A	0.000865854	0.004596593	2.29E-05	0.000168657	0.011507	0.057393
GRAMD1B	0.0008868	0.006112054	8.07E-06	2.26E-05	0.043548	0.079416
UNC93B1	0.000917945	0.00778642	2.22E-05	0.000150982	0.012645	0.047138
DDX58	0.000970308	0.004936813	1.10E-05	5.17E-05		
TYK2	0.001122396	0.006343087	8.01E-06	1.34E-05	0.077888	0.077889
MYLIP	0.001136279	0.005106776	1.50E-05	9.32E-05	-0.026895	0.065638
CCDC146	0.001136327	0.002487765	1.92E-05	0.000154921	0.212756	0.097126
C12orf23	0.001280781	0.006807833	2.13E-05	0.000172244	0.275712	0.104335
SAMHD1	0.001421271	0.008047074	1.18E-05	7.32E-05	-0.02115	0.035572
TBK1	0.001484095	0.010899905	1.02E-05	2.36E-05	0.129491	0.086347
IL10	0.001768384	0.00753583	7.99E-06	2.40E-05	-0.000129	0.052336
TLK2	0.001847968	0.008217741	1.05E-05	2.59E-05	-0.044574	0.020686
NFKBIZ	0.001848599	0.005814992	1.61E-05	8.64E-05	-0.009579	0.046837
RGS2	0.002174768	0.011107112	8.04E-06	1.86E-05	0.200533	0.096143
ANO5	0.003835	0.006218392	1.67E-05	0.000124603	0.404993	0.106587
PRRG4	0.004528526	0.003463775	1.71E-05	0.000117597	-0.046217	0.036888
PSTPIP1	0.00483896	0.006379016	1.69E-05	8.40E-05	-0.00165	0.034971
IRAK3	0.005399106	0.0067722	1.97E-05	0.000137003	0.171448	0.09753
TAB3	0.006872278	0.006050266	8.43E-06	1.77E-05		
EIF1AY	0.007290815	0.005106378	2.15E-05	0.000160178		
IL15	0.008401122	0.006649217	8.51E-06	2.58E-05	-0.039602	0.041273
IFI44	0.00933643	0.016908759	2.21E-05	0.000162848	0.433315	0.100652
ADCY3	0.010296907	0.007362374	7.26E-06	1.84E-05	0.114073	0.078645
C3orf59	0.011104448	0.005683814	2.05E-05	0.000118007	0.07638	0.08667
ZFYVE16	0.011153038	0.006435634	9.52E-06	1.75E-05	0.180397	0.102847
ST8SIA6	0.014234991	0.009622604	1.03E-05	5.22E-05	0.025457	0.080018
FAM120AOS	0.015661927	0.003899566	1.18E-05	7.16E-05	0.024307	0.056603
IRF7	0.015907689	0.01107708	1.41E-05	6.20E-05	0.45069	0.102248
LPIN2	0.016994089	0.008393766	1.75E-05	9.36E-05	0.14946	0.120745
CD3E	0.017239799	0.015680255	9.64E-06	3.60E-05	-0.032293	0.056718
STAT6	0.017608093	0.015089419	1.99E-05	0.000127493	0.058394	0.061848
MAP3K7	0.018019306	0.003311121	5.99E-06	1.56E-05	-0.036552	0.060211
HIRA	0.018470011	0.006544826	1.89E-05	9.85E-05	0.03863	0.080938
CASP5	0.021197552	0.007595019	1.46E-05	8.85E-05	-0.0095	0.038451
HIVEP2	0.021886534	0.00871552	1.03E-05	3.40E-05	0.031784	0.073006
ITGB8	0.022019867	0.006541116	9.18E-06	3.86E-05	0.024598	0.08088
CHUK	0.023933139	0.007620225	9.90E-06	4.73E-05	0.137216	0.09094
TRAF3	0.024900116	0.008783577	1.45E-05	6.63E-05	-0.025491	0.03845
IL2RA	0.025463858	0.008805048	9.71E-06	3.36E-05	0.058755	0.102222
SNORD3A	0.02612078	0.008353666	1.31E-05	6.98E-05	-0.038225	0.011336
EMR1	0.028111372	0.008788892	1.12E-05	5.26E-05	0.134084	0.109975
EPSTI1	0.028642025	0.00771204	1.08E-05	5.95E-05	0.260129	0.106796
SLC1A3	0.028994952	0.011926154	9.30E-06	1.84E-05	-0.027986	0.0401
ZNF280D	0.032477606	0.00643286	1.22E-05	7.23E-05	0.036215	0.065293
SLC8A1	0.033630474	0.00775089	8.96E-06	3.21E-05	0.107055	0.084742
LGALS3BP	0.034783966	0.009192525	1.16E-05	1.95E-05	-0.104963	0.058923
HELB	0.035907198	0.011541511	7.10E-06	1.53E-05	0.38932	0.106567
OR52K3P	0.040711347	0.003603573	1.37E-05	9.82E-05	0.526124	0.101592
ATF2	0.040905152	0.00945059	7.36E-06	9.60E-06		
CD48	0.041802872	0.010295495	1.18E-05	3.71E-05	0.252792	0.10989
ORMDL3	0.043379719	0.009246248	1.19E-05	5.02E-05	0.084079	0.076388
STAT1	0.044053755	0.018970898	1.85E-05	0.000113616		
MAPK1	0.044537653	0.009278401	8.92E-06	1.95E-05	-0.033005	0.044296
TRAF6	0.045292062	0.007120098	1.04E-05	2.67E-05	-0.132655	0.001721
MAU2	0.045602625	0.002811132	2.84E-05	0.000237858	0.019469	0.057354
IFNAR1	0.045882299	0.007907747	8.32E-06	2.20E-05	0.333936	0.109499
STAT2	0.048090671	0.020748399	9.47E-06	5.48E-05	0.136198	0.083002
GBP1	0.049242043	0.028591992	1.72E-05	9.68E-05		
HSPA4L	0.049538552	0.005944737	1.86E-05	0.00011273	-0.059857	0.000001
IFIH1	0.052493665	0.026055359	1.82E-05	0.00010557	0.000435	0.041842
PTMA	0.053546739	0.004824674	1.38E-05	6.76E-05	-0.027494	0.045762
TAB2	0.05366753	0.008269352	8.27E-06	1.51E-05	0.075496	0.092942
MAP2K4	0.053795158	0.005409382	1.82E-05	6.97E-05	0.101199	0.102558
STAT3	0.055710158	0.012106552	1.72E-05	0.000109897	0.063933	0.065032
IFIT2	0.056866085	0.011160107	1.20E-05	6.36E-05	-0.080434	0.031027
DSP	0.057873151	0.009977253	1.83E-05	0.000114482	0.449844	0.113766
OSM	0.058423818	0.010010915	1.76E-05	9.04E-05	-0.033658	0.030164
SCLT1	0.061150144	0.009573755	1.01E-05	2.12E-05	0.106574	0.079076
ATP10A	0.063142388	0.009012585	1.20E-05	7.24E-05	0.407883	0.122664
ATG4C	0.063549087	0.010171708	8.07E-06	1.59E-05	0.21726	0.106352
IRF9	0.064031776	0.005824401	3.77E-06	7.33E-06	-0.081307	0.042542
RELA	0.064165473	0.006535287	1.50E-05	3.87E-05	-0.000198	0.041017
JAK1	0.065379125	0.006587719	8.47E-06	1.24E-05	-0.025547	0.055582
MAP2K2	0.065542373	0.011577752	1.23E-05	4.58E-05	0.158803	0.110246
SLC44A2	0.065752314	0.012235086	1.52E-05	7.74E-05	0.621785	0.085283
TRIM56	0.066035536	0.005099867	1.50E-05	8.12E-05	-0.055795	0.000102
MAP2K3	0.069762894	0.010136729	1.81E-05	6.92E-05	0.025492	0.055466
MYD88	0.070175366	0.017057434	8.72E-06	2.10E-05	0.001027	0.053257
RGS1	0.070713244	0.011257211	9.70E-06	3.37E-05	-0.040159	0.034545
BCL2L14	0.071748974	0.00885838	2.04E-05	0.000142342	0.043852	0.091013
MAPK14	0.074275547	0.007727184	5.64E-06	9.62E-06	0.089054	0.080281
IKBKB	0.074890206	0.005822104	8.13E-06	1.67E-05	0.003437	0.049566
TLR7	0.07571552	0.01019345	1.12E-05	6.02E-05		
ARL5B	0.076399218	0.008396198	1.26E-05	3.66E-05	0.439547	0.105676
SLCO5A1	0.076889062	0.007638446	1.33E-05	7.14E-05	0.062142	0.083686
PGAP1	0.078339181	0.006080568	9.31E-06	3.02E-05	0.005295	0.041581
TMED7	0.080271251	0.006754143	8.10E-06	2.31E-05	0.118528	0.091358
RIPK1	0.083323914	0.00804791	1.07E-05	2.78E-05	0.013282	0.086127
RNF149	0.084589383	0.009431853	5.21E-06	8.70E-06	0.029293	0.065771
OAS1	0.08716297	0.014356685	1.03E-05	4.48E-05	0.189048	0.098283
HMGB1	0.088037875	0.012517179	5.61E-06	9.12E-06	0.095077	0.102549
NFE2L3	0.08843736	0.008154378	1.46E-05	4.69E-05	0.308518	0.109324
CTLA4	0.090772589	0.007145931	1.51E-05	9.79E-05	-0.036249	0.035577
MICA	0.091611974	0.008095962	1.19E-05	5.13E-05	0.813126	0.051575
GTPBP2	0.095282338	0.008207666	9.36E-06	1.75E-05	0.014851	0.08024
PPP6C	0.097306351	0.005565645	3.62E-06	1.27E-05	-0.042727	0.007651
IKBKG	0.098006046	0.009664774	1.13E-05	3.72E-05		
RBM43	0.100197255	0.007253526	1.49E-05	9.57E-05	0.390557	0.105096
FAM135A	0.103245267	0.013902276	1.10E-05	2.03E-05	0.2013	0.097074
CUL4A	0.104301569	0.008428387	1.43E-05	6.15E-05	-0.007014	0.068448
GPR68	0.105933069	0.014146352	1.42E-05	4.90E-05	-0.005446	0.064723
CD93	0.107078319	0.014414646	1.01E-05	1.01E-05	0.253435	0.101869
MGC39372	0.108253364	0.011133388	7.05E-06	1.73E-05	0.553297	0.104905
SPTLC2	0.110616189	0.010903794	1.55E-05	7.61E-05	0.493541	0.108797
TEC	0.11266859	0.009859098	9.96E-06	3.40E-05	0.249945	0.100448
C19orf12	0.114733143	0.009512946	1.49E-05	7.76E-05	0.353047	0.110321
CXorf21	0.120644514	0.017384555	7.36E-06	1.93E-05		
CASP1	0.121286347	0.013442728	7.82E-06	2.19E-05	0.067118	0.067605
IRF8	0.125283263	0.012312933	7.86E-06	1.03E-05	-0.237805	0.000554
CLEC4E	0.125888943	0.014175554	1.16E-05	2.95E-05	0.275491	0.107529
KIAA0040	0.126921535	0.008005787	9.02E-06	1.66E-05	0.041203	0.062087
TANK	0.129942855	0.017614208	1.70E-05	6.28E-05	-0.014888	0.036277
IRAK1	0.130221132	0.009023548	9.21E-06	1.99E-05		
MAP3K8	0.132189754	0.011107704	8.40E-06	1.55E-05	0.099732	0.092295
DCBLD1	0.138210928	0.011806401	1.05E-05	2.97E-05	0.420515	0.101747
CH25H	0.143526264	0.009921142	8.44E-06	4.00E-05	0.316856	0.107414
TMPRSS13	0.146008182	0.012262742	1.68E-05	3.72E-05	-0.031363	0.055063
DDX3Y	0.152585013	0.019634189	1.02E-05	3.68E-05		
IFNAR2	0.155721848	0.009786209	1.06E-05	2.34E-05	0.190446	0.101462
TNFSF8	0.161626845	0.012312601	1.51E-05	7.12E-05	0.116499	0.096625
MCOLN2	0.162004671	0.023659794	1.11E-05	1.60E-05	0.54115	0.097828
ACP5	0.162457431	0.021655281	1.77E-05	0.000101113	0.353558	0.103806
MAP2K1	0.16410707	0.013773967	1.58E-05	7.26E-05	0.240947	0.105784
RBM6	0.165057013	0.006970642	1.00E-05	1.28E-05	0.307143	0.116617
CD86	0.166577768	0.010001686	8.59E-06	1.40E-05	0.001537	0.048707
ETS2	0.170104314	0.014301147	1.28E-05	3.35E-05	0.327853	0.116287
PIM1	0.174111728	0.014568657	1.54E-05	3.23E-05	-0.06017	0.055199
TRIM25	0.180565787	0.008334874	7.65E-06	1.34E-05	0.208959	0.112054
LRMP	0.181002769	0.015844974	1.24E-05	6.14E-05	0.612271	0.098038
MFN1	0.181863088	0.012203896	9.89E-06	4.55E-05	0.297604	0.101924
FGD4	0.182086768	0.010976044	1.00E-05	2.23E-05	-0.081662	0.013855
TMEM229B	0.182614502	0.0106173	8.94E-06	2.22E-05	0.712047	0.069462
IRF5	0.185373048	0.036588517	1.04E-05	2.68E-05	0.604212	0.087745
CDC37	0.187623349	0.01039133	1.09E-05	2.33E-05	-0.012888	0.051651
AXL	0.190937539	0.013836447	8.72E-06	1.42E-05	0.212213	0.098817
IL1B	0.191028065	0.019090807	1.04E-05	2.81E-05	0.10724	0.079473
GP1BA	0.197868845	0.01735847	1.22E-05	4.16E-05	0.479839	0.108457
TNFSF10	0.199104834	0.01677052	1.06E-05	4.67E-05	-0.046187	0.055503
DGKH	0.199193246	0.00852671	1.54E-05	5.15E-05	0.430472	0.107006
JAK2	0.200345477	0.0154826	7.22E-06	1.24E-05		
IKBKE	0.201788712	0.009736532	1.38E-05	4.35E-05	0.01067	0.060905
PYCARD	0.202158077	0.009879464	1.19E-05	1.85E-05	0.059326	0.061037
CD24	0.20613133	0.014549433	1.18E-05	4.03E-05		
IFI27	0.211876041	0.022349712	1.01E-05	1.72E-05	0.066898	0.099054
TNFRSF1A	0.21381629	0.025707463	7.81E-06	1.94E-05	0.035486	0.087423
IL4R	0.214394894	0.014478908	9.14E-06	1.30E-05	-0.003384	0.077114
IFITM3	0.215561779	0.01734291	9.32E-06	2.23E-05	0.850793	0.040908
P2RY13	0.219018776	0.011757467	1.56E-05	5.30E-05	0.208766	0.102087
C9orf30	0.222026911	0.012729234	1.46E-05	3.61E-05	-0.024778	0.039894
IFNGR2	0.223232917	0.019389221	1.48E-05	3.74E-05	0.122833	0.094171
TMEM173	0.223571224	0.01610274	1.21E-05	2.93E-05		
TICAM1	0.224462444	0.020140432	1.43E-05	2.45E-05	-0.115922	0.034869
PHLDA1	0.226931342	0.014541495	1.01E-05	3.35E-05	0.158781	0.100053
ATP1B1	0.227641497	0.010799295	1.37E-05	5.08E-05	0.135056	0.091974
ATP13A3	0.230227534	0.013793961	1.25E-05	3.79E-05	0.124369	0.105396
VCAN	0.231559199	0.018522899	1.32E-05	3.68E-05	0.531621	0.100382
CPNE1	0.235991606	0.01033467	1.01E-05	3.69E-05	0.728839	0.069525
PTGER2	0.243583575	0.010946896	9.09E-06	1.52E-05	0.1955	0.100551
RELB	0.245683326	0.013408429	1.16E-05	1.63E-05	0.145957	0.097877
TLR2	0.248557741	0.014708576	1.63E-05	5.81E-05	0.221653	0.105238
MMP10	0.249226476	0.018298459	1.90E-05	4.16E-05	0.558059	0.095479
LYZ	0.249889376	0.01262736	9.66E-06	1.43E-05	0.042084	0.076838
KMO	0.250045848	0.017030014	1.33E-05	3.11E-05	0.013984	0.089694
OTUD5	0.250159614	0.010839055	8.97E-06	1.56E-05		
CASP7	0.264230113	0.021671132	8.99E-06	1.79E-05	0.474261	0.108563
ATF3	0.27040645	0.033057754	1.42E-05	2.54E-05	0.421545	0.104551
CD2AP	0.271084089	0.012889973	1.25E-05	3.16E-05	-0.024935	0.0404
CYBRD1	0.273563502	0.01227738	1.11E-05	2.29E-05	0.48211	0.101477
TTC39B	0.273978418	0.016667952	1.24E-05	3.89E-05	0.835084	0.068996
ALOX15B	0.27963419	0.017824892	7.49E-06	1.32E-05	0.095908	0.092436
CREB1	0.282958377	0.011447175	7.60E-06	1.09E-05	-0.002582	0.058663
AQP9	0.283453073	0.015612189	1.37E-05	4.37E-05	-0.037549	0.025191
TLR3	0.285155863	0.014859772	8.39E-06	1.43E-05	0.027028	0.092975
CD69	0.286651974	0.015191477	8.01E-06	1.25E-05	0.128958	0.092887
IL1RN	0.287159603	0.017110339	1.04E-05	1.93E-05	0.303877	0.102636
HMGB2	0.289147603	0.012978892	1.09E-05	2.22E-05	-0.072042	0.035265
TGFB1	0.295225901	0.00831408	1.14E-05	2.31E-05	0.034514	0.065857
C6orf192	0.29566167	0.012407657	1.43E-05	3.49E-05	0.312264	0.106029
STEAP4	0.299026382	0.036804146	2.91E-05	0.000208727	0.827839	0.046595
GFRA2	0.30167077	0.01186025	8.15E-06	1.48E-05	-0.037264	0.060615
CD40	0.308853116	0.024089246	1.58E-05	3.07E-05	0.110514	0.08998
IRF1	0.312085277	0.012121216	8.84E-06	1.44E-05	0.117155	0.08561
IFIT5	0.3133043	0.013805163	9.55E-06	2.88E-05	0.068689	0.081752
FRMD3	0.317806206	0.01477075	1.12E-05	2.80E-05	0.642997	0.087088
BRIP1	0.319701027	0.034594622	1.38E-05	3.46E-05	0.202597	0.096138
NLRP3	0.321292868	0.012333315	9.99E-06	2.07E-05	0.195349	0.100156
IL6	0.332104987	0.012749655	1.57E-05	4.43E-05	0.148747	0.100383
MAP2K6	0.333444957	0.021847804	1.21E-05	1.76E-05	-0.067953	0.040081
PTPN1	0.336874119	0.01148377	1.05E-05	2.60E-05	0.05709	0.088963
NFKB1	0.338674177	0.012566021	1.41E-05	2.09E-05	-0.041076	0.002354
RAB7L1	0.339368834	0.013190585	1.39E-05	2.45E-05	0.239413	0.104457
AP2A2	0.339769717	0.013925716	1.10E-05	2.97E-05	0.070376	0.082909
CLEC4F	0.344143511	0.018419376	9.73E-06	1.34E-05	0.710759	0.076406
DAPP1	0.350267502	0.017500768	1.39E-05	1.59E-05	0.466731	0.103145
JUN	0.35029851	0.011138722	1.27E-05	2.18E-05	0.180827	0.099828
SLC46A3	0.351333748	0.010590344	9.15E-06	1.61E-05	0.027207	0.083978
C15orf48	0.358389797	0.024548525	7.99E-06	1.42E-05	0.134312	0.08676
TLR8	0.359526801	0.009625667	1.01E-05	1.96E-05		
OTOF	0.370409588	0.016948349	1.22E-05	2.44E-05	0.631518	0.084229
DCTN5	0.370754314	0.013015768	8.08E-06	1.27E-05	0.748134	0.075279
TLR4	0.371737644	0.01427112	7.66E-06	1.74E-05	0.002898	0.068596
