	Repeatability	Repeatability SE	Repeatability r^2	Fixed r^2	Fixed r^2 SE	SNP r^2	SNP r^2 SE	cis Heritability	cis Heritability SE
KLRG1	0.480288947	0.063600802	0.249123114	0.006998449	0.00169033	0.115198674	0.001424512	0.420575	0.110797
ALDH7A1	0.478041958	0.091233293	0.248594117	0.029605849	0.002818689	0.003409357	0.000152547	-0.084356	0.000416
ICOS	0.475519157	0.054971729	0.581387482	0.06907926	0.003120171	0.00025799	7.45E-05	0.021804	0.066225
IL23R	0.471173549	0.066686227	0.401199165	0.003634879	0.001587894	0.000287034	7.47E-05	0.044816	0.082831
ENTPD1	0.467708521	0.07382924	0.262912811	0.012303718	0.001981655	0.004641809	0.000273165	-0.051871	0.030915
HDGFRP3	0.459606735	0.105529706	0.23133857	-0.024717811	0.003046902	0.062258571	0.00030092	0.057818	0.065252
FCER1G	0.458931208	0.106788853	0.202104632	-0.011188313	0.00102566	0.04530202	0.001207782	-0.057622	0.044286
GCNT1	0.454248062	0.070077709	0.29022982	-0.014545861	0.002070508	0.024977311	0.000749284	0.132978	0.114724
MIR142	0.446065209	0.102617514	0.192412875	0.017638754	0.000500632	0.003481338	0.00020014	0.013631	0.060089
IER3	0.435777497	0.080278105	0.278516723	-0.011559665	0.004620178	0.187566595	0.000889286	0.299412	0.109588
IL1A	0.432809885	0.089297297	0.182258934	0.00140259	0.001919449	0.011508036	0.000609369	-0.016085	0.039685
DHX58	0.431428382	0.069537885	0.013122627	-0.019637313	0.001454954	0.11840827	0.0022825	0.067816	0.068011
SRD5A3	0.429597891	0.082503022	0.13337862	-0.001475179	0.001040049	0.015159105	0.000715236	0.023282	0.081284
GNAI1	0.424737167	0.09447164	0.118852829	-0.011743066	0.001322714	0.001263431	0.000163936	-0.054241	0.044377
IRF1	0.409326409	0.078692396	0.490744604	0.029167861	0.00373662	0.01386917	0.000378784	0.040757	0.064825
SOCS1	0.406126982	0.075276635	0.336058276	0.078426006	0.002775876	0.016163629	0.000660147	0.077527	0.096139
BATF	0.402976228	0.067176786	0.287572574	0.016696971	0.001177807	0.023645494	0.000524452	0.034234	0.076456
TIAM2	0.399769035	0.094738442	0.167131738	0.005421359	0.002499828	0.000435063	0.000119083	-0.086863	0.060309
IFIT1	0.399610078	0.06523547	0.188551647	-0.018009172	0.002114604	0.045039887	0.000948609	-0.041897	0.054081
SEMA7A	0.392433749	0.085442114	0.158806515	0.01102897	0.001051474	0.002462412	0.000257147	-0.043475	0.00489
FGL2	0.391810686	0.093654717	0.148866739	0.047847727	0.001286965	0.351167973	0.002236042	0.316776	0.107544
NCAPG	0.38405465	0.116564214	0.036118638	-0.003748354	0.001122426	0.000631394	9.91E-05	0.058841	0.077768
PPARG	0.3826617	0.047669054	0.172494187	-0.020389452	0.000700495	0.001963253	0.000114774	-0.052824	0.023998
ANXA4	0.379077763	0.153346408	0.178226529	0.038533034	0.000550292	0.023520256	0.001504462	-0.070893	0.019379
PML	0.378430273	0.152807959	0.035437317	0.028058893	0.000878727	0.004688074	0.000244378	-0.049716	0.001325
LRP12	0.377241181	0.079612425	0.187301271	-0.015057853	0.001432977	0.066612523	0.000498188	-0.011771	0.053536
DDX60	0.37069246	0.040730741	0.045118932	-0.004808116	0.001063218	0.015485195	0.000508792	-0.11166	0.001692
TNF	0.370577243	0.076045471	0.1337408	0.055077099	0.000706769	0.028133784	0.000380781	0.01216	0.051931
MAPK8IP1	0.358640185	0.086141434	0.389638464	-0.019633173	0.002134701	0.002856868	0.000197999	-0.038279	0.040169
CD80	0.357493155	0.085893767	0.144093039	3.33E-05	0.002185982	0.00222851	0.000278765	-0.078561	0.013469
AQP3	0.357222495	0.069017164	0.406597579	0.005110314	0.001260165	0.031612212	0.000178887	-0.052798	0.03907
IL2	0.353071977	0.100617765	0.12745022	0.001391747	0.00155298	0.000891297	0.000147222	-0.062882	0.001812
KLF3	0.348852472	0.095895191	0.003565934	0.042385924	0.001600061	0.024148386	0.000654504	-0.041728	0.055598
IL2RA	0.337518776	0.130417723	0.000608906	-0.00029596	0.002003987	0.009999553	0.000185083	-0.078917	0.075499
RHOBTB3	0.336492236	0.106871446	0.117341912	-0.015495366	0.00120172	0.002666923	0.000238347	-0.048085	0.045731
TBP	0.329708194	0.077116568	0.101223414	0.005673993	0.003660498	0.001845163	0.000183164	-0.022336	0.030417
FOXP3	0.324750723	0.17872819	0.015870097	-0.031087389	0.00022765	0.010583718	0.000602355	#N/A	#N/A
CYBB	0.324597281	0.128487409	0.119064084	-0.013496794	0.000761869	0.001228345	9.90E-05	#N/A	#N/A
SLC27A2	0.324478295	0.092457099	0.072609392	-0.020007705	0.001372725	0.000446034	9.87E-05	-0.067425	0.014104
GLB1L2	0.323970703	0.074507855	0.101691381	-0.000473097	0.005008825	0.00195675	0.00027476	-0.101345	0.046454
IFNG	0.322683601	0.129451408	0.160323162	0.043313564	0.001538831	0.01997749	0.001384717	0.017998	0.081857
FCER2	0.320821845	0.094504155	0.183713395	0.013833104	0.001032996	0.000818844	0.00011578	0.239669	0.123714
CLDN1	0.317700019	0.076512541	0.082261047	-0.010453117	0.001019685	0.015942832	0.000671758	0.083656	0.101183
RORC	0.313529305	0.069844678	0.524380497	0.011378999	0.00192096	0.002040864	0.000239612	-0.059137	0.001473
CCL20	0.310801864	0.133653677	0.198411613	-0.00781329	0.002363225	0.019889847	0.000664594	0.001132	0.070105
TRIM5	0.309776754	0.081908912	0.101684538	-0.017756119	0.000877718	0.000865418	0.000109915	0.148451	0.111606
IL10	0.308494376	0.110537248	0.123325853	0.014322131	0.001060345	0.006778238	0.000223208	-0.082992	0.000042
FHIT	0.304602871	0.086541949	0.11709926	0.039777151	0.001034814	0.000101622	1.43E-05	0.184361	0.134723
HRH4	0.303629754	0.096665443	0.062624408	0.017053576	0.00087084	0.003739697	0.000267923	-0.055467	0.034761
NAIP	0.301472055	0.188924111	0.016582722	0.012353886	0.001237953	0.000311539	6.65E-05	-0.045171	0.003131
OAS1	0.299210239	0.079850123	0.070637268	0.006986824	0.000692835	3.39E-05	4.33E-05	-0.056519	0.016479
IL21	0.298821138	0.054619556	0.149728065	-0.004971459	0.000928097	0.000646369	0.000131298	-0.018817	0.039791
PHEX	0.297879437	0.081696559	0.162346618	-0.017255917	0.001041913	4.46E-07	1.04E-05	#N/A	#N/A
NAPSA	0.295950776	0.097746668	0.088651858	0.022005397	0.00658882	0.001647383	0.000199394	-0.173346	0.001233
IL24	0.288967609	0.058226706	0.239517513	-0.003186288	0.003438704	0.009518071	0.000314303	-0.080715	0.005797
RHOU	0.282397051	0.11929824	0.060109946	0.008312591	0.000997931	0.003852053	0.000251789	0.06156	0.075651
IRF7	0.280854053	0.085189658	0.031149003	-0.003791472	0.001378817	0.042694115	0.000811134	0.084701	0.082403
CXCL11	0.27183924	0.081088848	0.133223697	-0.007991789	0.000748295	0.034402378	0.000857211	0.129802	0.09204
IRAK1BP1	0.26948986	0.134491593	0.021465978	-0.006189758	0.000987087	0.003860424	0.000181197	0.011589	0.061084
RPS26P11	0.268859243	0.092059284	0.053925101	-0.02096847	0.000938001	0.000958035	0.000105541	#N/A	#N/A
CD19	0.264808641	0.10449742	0.183558254	0.012179995	0.003743471	0.006447359	0.000337794	-0.034215	0.004925
PLA2G4A	0.263155108	0.098177923	0.063035162	0.016294349	0.001221035	0.000195712	0.00019118	-0.072416	0.000175
PSAT1	0.262724316	0.119231735	0.097614553	0.019565226	0.006914311	0.008552111	0.000319621	0.164136	0.104035
IL9	0.259135082	0.097513871	0.059581271	0.034321446	0.001226524	0.008986325	0.000283253	-0.007699	0.059394
DSCC1	0.258600815	0.08504181	0.203290003	-0.000881217	0.001701622	0.014294246	0.000844432	0.017511	0.062671
PBK	0.257116578	0.097607517	0.056438368	0.00011226	0.001494455	0.011213995	0.000486568	0.128517	0.099147
JHDM1D	0.242533901	0.118770776	0.189551369	0.001251249	0.002631942	0.00701509	0.000351693	0.142193	0.097772
RSAD2	0.238897311	0.163618826	0.125865713	-0.002101909	0.00176313	0.024147508	0.000143985	-0.005296	0.082021
ASPM	0.235657889	0.136899933	0.038894553	0.024852917	0.002233658	0.002318693	0.000417586	0.049178	0.062479
PNPT1	0.231226275	0.138385239	0.084316521	0.009598231	0.00082198	0.005435593	0.00036192	-0.007196	0.055903
GATA3	0.230072161	0.049179558	0.02080745	-0.026161095	0.00111428	0.007254805	0.000855441	0.061829	0.104294
IL22	0.228733149	0.080358149	0.038367735	-0.000496108	0.001619269	0.000417684	0.000125307	0.021447	0.084726
IL17F	0.211506747	0.099232627	0.043819267	0.002311422	0.001342174	0.002776377	0.000295346	0.102993	0.090834
UHRF1	0.208895147	0.070465974	0.070263971	0.003128929	0.001999799	0.002768857	6.63E-05	-0.035912	0.077385
IL17A	0.207971579	0.082863191	0.042893307	-0.014770708	0.003222026	1.09E-05	4.88E-06	0.036501	0.075398
MOP.1	0.206902879	0.113048199	0.006471114	0.000206812	0.00084485	0.00394403	0.000414586	0.077378	0.079446
HMMR	0.202305244	0.118595621	0.051265903	-0.001335292	0.001235021	0.004909449	0.000112955	-0.052005	0.044083
XCL1	0.199456334	0.153498837	0.016746341	-0.005718055	0.001140348	0.00246841	0.000244008	-0.045675	0.052227
DDX58	0.177808494	0.111572957	4.66E-05	0.009699713	0.001474364	0.020552821	0.000591731	-0.002386	0.067316
CD40LG	0.172240297	0.147865487	0.028668925	-0.000828463	0.001902527	0.030115075	0.0011149	#N/A	#N/A
PLK4	0.16927347	0.10181517	0.152500549	0.056465041	0.006242471	0.004328242	0.000311862	0.080317	0.07365
BCL6	0.166539151	0.056862595	0.114798052	0.109908229	0.003208999	0.027402153	0.001742113	0.140277	0.115614
IL1R1	0.163764935	0.158639332	0.000717098	-0.026025875	0.000476496	0.003441312	4.98E-05	-0.024251	0.041849
IL3	0.16325044	0.13429694	0.00832296	-0.014588393	0.003613927	0.002112797	0.000262215	0.286122	0.111137
CCNA2	0.155713963	0.091215105	0.048291534	0.00980947	0.002755249	0.02292508	0.00055571	-0.089609	0.000001
TNFRSF9	0.153259723	0.067168167	0.06495112	0.007419257	0.001714413	0.003706451	0.000321621	0.124302	0.097394
CDK1	0.152678645	0.112421522	0.041785096	-0.029069883	0.000760434	0.009164077	0.000343007	-0.039838	0.039463
SAMD9	0.150033453	0.124605176	0.016060856	0.049991096	0.000807452	0.005354202	0.00013927	-0.015672	0.05357
CTLA4	0.149436012	0.169192643	0.048034342	0.07322366	0.003272556	0.004538594	6.87E-05	-0.028906	0.04061
BST2	0.147266753	0.079731707	0.000463369	0.032964752	0.004247645	0.027306845	0.000710347	-0.118759	0.012666
IFI44	0.143869858	0.181820432	0.003258351	-0.021829399	0.001657683	0.034057373	0.000144532	0.050245	0.068625
LIF	0.142097122	0.091972772	0.018569128	-0.020718985	0.000639886	0.000130868	7.42E-06	-0.003285	0.049822
CDK4	0.138140055	0.265044661	0.038820601	0.021680502	0.004910271	0.003036029	0.000117765	-0.03643	0.008847
CTH	0.132159985	0.073777588	0.153972627	0.024336999	0.002660863	0.039437542	0.001687561	0.08722	0.082189
PAWR	0.129009765	0.123940907	0.036149073	-0.030267961	0.001368927	0.006883594	0.000397498	0.054887	0.069527
IFITM3	0.128385832	0.074844573	0.0010331	-0.018764572	0.002316499	0.0678734	0.001512255	0.068887	0.077046
OLR1	0.122366535	0.188739565	0.00829769	-0.005526203	0.000966689	0.001032609	0.000156487	-0.020126	0.053935
CENPH	0.108509345	0.132349206	0.034570923	-0.009019744	0.000389746	0.001251814	0.000158539	-0.00677	0.048512
DDX60L	0.107573383	0.058406575	0.000722953	0.004315393	0.002553614	0.010183001	0.000588734	-0.11315	0.001542
ESCO2	0.097734327	0.081492034	0.001152191	0.028564479	0.002690245	0.000760372	0.000175044	0.022397	0.076419
IL12RB2	0.095035297	0.105462387	0.006774422	-0.022386389	0.002691895	0.008448707	0.001025538	-0.086544	0.03113
PPP4R4	0.094589776	0.113889573	0.007723769	0.020607059	0.002378886	0.003191928	0.000316003	0.311373	0.126795
NUF2	0.080877145	0.098755857	0.003926352	0.008451783	0.005184953	0.005773161	0.000425752	0.068947	0.091224
IFI6	0.079710752	0.25206753	0.028377606	-0.022785672	0.000560978	0.090554173	0.001960544	-0.039782	0.01732
LY6E	0.079129107	0.168575964	0.028090134	-0.009337081	0.000809144	0.03257036	0.000674914	0.079862	0.087195
AIF1	0.076111458	0.116587657	0.00021435	0.007196805	0.0016428	0.037408877	0.000818703	0.081807	0.077176
IFIT3	0.072544083	0.102925347	0.0638231	0.027988518	0.001499213	0.039651003	0.000776674	-0.093206	0.020836
KLF7	0.072473255	0.121051285	0.022962463	0.068303002	0.001467155	0.029396429	0.000965332	0.151189	0.097166
NMI	0.07055303	0.223108271	0.018347178	0.03207148	0.000695168	0.026823896	0.000960419	0.000722	0.053897
IL4	0.070105384	0.058049219	3.50E-06	-0.030170797	0.00173523	0.000563478	7.07E-05	-0.033122	0.011
HSH2D	0.068121375	0.073029982	0.000432928	-0.011814936	0.002058756	0.0081684	0.000359942	-0.051586	0.031385
MX2	0.065663579	0.20764647	0.0397863	-0.015218131	0.000633185	0.05500444	0.000915231	0.022483	0.108487
CXCL9	0.065640926	0.115970338	0.001753643	0.008528935	0.00171923	0.003051008	0.000423861	-0.00483	0.060182
CD9	0.057924347	0.125645952	0.037426344	-0.013672942	0.00119492	0.018960736	0.000183186	0.052027	0.097941
FANCB	0.056665004	0.08355035	0.198222776	-0.018047092	0.001057428	0.000243488	9.08E-05	#N/A	#N/A
IKZF2	0.056250965	0.115859582	0.00467126	-0.006397156	0.00052479	0.006998707	0.000799201	-0.003392	0.057146
FLJ36840	0.050958201	0.112525889	0.022905096	-0.020991716	0.005545755	7.46E-05	8.35E-05	-0.033762	0.026775
IFI35	0.049365656	0.15610791	0.087586579	-0.027451897	0.000314202	0.012988571	0.00059181	0.001709	0.031494
ELOVL6	0.048662551	0.125025198	0.001185991	0.031193478	0.003195509	0.006839141	0.000233811	0.006667	0.065152
TIMP1	0.047803921	0.151169273	0.002965647	0.076840902	0.003322789	0.001456924	0.000265921	#N/A	#N/A
GSTM3	0.037867892	0.055454722	0.018982259	-0.010537893	0.001130625	0.0945729	0.001161235	0.095765	0.095484
OAS2	0.035727971	0.060365389	0.000132173	-0.012940004	0.001094135	0.016805648	0.000693523	-0.062737	0.017221
PRKD2	0.032932061	0.062532067	0.093039803	0.000669318	0.001112763	0.00775098	0.001221831	-0.015268	0.07105
COL6A3	0.030171887	0.095411885	0.098534925	0.007003382	0.001260414	0.004693817	0.000163221	-0.136215	0.011568
DRAM1	0.022782131	0.042007538	0.000646081	-0.012510265	0.002750375	0.000655394	8.77E-05	0.049511	0.083005
OR2L8	0.021844942	0.055000806	0.05094357	-0.000530803	0.001742088	4.11E-05	1.29E-05	-0.075724	0.008577
IRF8	0.020279562	0.036231031	0.038668477	-0.015160894	0.000587999	0.001769523	0.000157761	-0.120533	0.076354
TNFSF10	0.017163265	0.054275009	0.038874312	0.021027526	0.000886262	0.000598276	0.000121898	0.088993	0.095563
LAMP3	0.01462528	0.044279775	0.005814061	0.036445172	0.001028907	0.028547433	9.76E-05	-0.043295	0.018056
C4orf21	0.009419556	0.024541328	0.23586293	0.037468653	0.001112908	0.009114005	0.000532642	0.05115	0.079
ROCK1P1	0.007104934	0.022467775	0.589491018	-0.020180287	0.000855039	0.032399005	0.001130236	-0.058035	0.043151
UGT2B7	0.005916563	0.018709814	0.057189309	-0.026284394	0.005400386	0.000315936	7.06E-05	0.018194	0.049965
NHEDC1	0.005174675	0.01636376	0.006602299	-0.032107059	0.001494964	0.008311277	0.000511177	-0.035283	0.0163
NPCDR1	0	0	0.000633468	0.043358324	0.001299757	0.130229046	0.001023987	0.031152	0.096675
PHGDH	0	0	0.402347161	-0.005891315	0.001734229	0.010335689	0.000388099	0.043011	0.065283
PRIC285	0	0	0.1382542	0.00591702	0.00419235	0.013386396	0.000482673	-0.07133	0.057062
TRAP1	0	0	0.00049814	0.018337024	0.004489508	0.064666239	0.000476094	0.032761	0.079297
