	var.inter.prop	var.inter.prop.mean	var.inter.prop.sd	var.intra.prop	var.intra.prop.mean	var.intra.prop.sd	var.fixed.prop	var.fixed.prop.mean	var.fixed.prop.sd			
IFNA21	0.139087673	0.138116082	0.00962687	0.860912327	0.861883918	0.00962687	3.90E-08	8.76E-06	4.91E-05	IFNA21	0.053044	0.073661
IFNA4	0.103669395	0.10287758	0.007740597	0.896330605	0.89712242	0.007740597	7.68E-08	7.95E-06	4.88E-05	IFNA4	-0.036157	0.040049
IFNA5	0.157202366	0.157380491	0.023126991	0.842797634	0.842619509	0.023126991	1.04E-08	3.42E-06	2.00E-05	IFNA5	-0.078803	0.000052
IFNAR1	0.148451123	0.148915554	0.008712302	0.851548877	0.851084446	0.008712302	2.32E-08	3.10E-06	8.03E-06	IFNAR1	0.070144	0.082556
IFNAR2	0.174516581	0.174522751	0.006083599	0.825483419	0.825477249	0.006083599	8.76E-07	3.81E-06	6.07E-06	IFNAR2	0.101535	0.088815
IFNB1	0.098714301	0.097847749	0.010312543	0.901285699	0.902152251	0.010312543	2.07E-08	9.21E-06	7.32E-05	IFNB1	0.085839	0.080996
IFNE	0.215219999	0.213654556	0.016509402	0.784780001	0.786345444	0.016509402	1.88E-07	6.00E-06	2.05E-05	IFNE	0.059226	0.072605
IFNGR1	0.050839335	0.05062503	0.008247409	0.949160665	0.94937497	0.008247409	1.49E-06	4.95E-06	6.07E-06	IFNGR1	0.128971	0.093527
IFNGR2	0.109777619	0.109835251	0.009888997	0.890222381	0.890164749	0.009888997	7.91E-08	3.62E-06	8.07E-06	IFNGR2	0.010407	0.068559
IFRD1	0	4.56E-05	0.000474298	1	0.999954361	0.000474298	1.36E-07	3.34E-06	5.57E-06	IFRD1	0.013251	0.057951
IKBKB	0.129381519	0.130450319	0.017331795	0.870618481	0.869549681	0.017331795	8.71E-08	4.22E-06	7.43E-06	IKBKB	-0.036318	0.032446
IKBKE	0.2330879	0.233101694	0.014043853	0.7669121	0.766898306	0.014043853	1.99E-07	3.97E-06	9.61E-06	IKBKE	0.066837	0.075456
IKBKG	0.205954301	0.206116253	0.010619929	0.794045699	0.793883747	0.010619929	1.59E-07	4.06E-06	9.88E-06			
IL10	0.20414895	0.204478902	0.010648966	0.79585105	0.795521098	0.010648966	2.03E-07	7.53E-06	4.46E-05	IL10	0.025775	0.061162
IL12A	0.015681828	0.016655325	0.012052397	0.984318172	0.983344675	0.012052397	2.74E-08	1.63E-06	7.67E-06	IL12A	0.068613	0.069759
IL12B	0.204123888	0.203943861	0.01363516	0.795876112	0.796056139	0.01363516	2.85E-07	3.02E-06	7.35E-06	IL12B	-0.004166	0.061403
IL12RB1	0.278417211	0.278715902	0.007262228	0.721582789	0.721284098	0.007262228	9.45E-07	3.27E-06	4.09E-06	IL12RB1	0.064559	0.089637
IL15	0.207849298	0.207640642	0.011386833	0.792150702	0.792359358	0.011386833	1.26E-06	6.68E-06	1.45E-05	IL15	0.073158	0.077046
IL18	0.490661469	0.490682539	0.00727043	0.509338531	0.509317461	0.00727043	1.29E-07	4.01E-06	7.24E-06	IL18	0.012715	0.055151
IL1B	0.411114251	0.411447249	0.028250817	0.588885749	0.588552751	0.028250817	3.05E-08	5.44E-06	2.61E-05	IL1B	0.002208	0.047424
IL1F9	0.171583845	0.172404589	0.029669514	0.828416155	0.827595411	0.029669514	8.68E-08	3.08E-06	1.36E-05	IL1F9	0.002873	0.047533
IL1RN	0.512548469	0.512781357	0.010126317	0.487451531	0.487218643	0.010126317	5.02E-08	3.76E-06	7.27E-06	IL1RN	0.569166	0.091451
IL23A	0.276496348	0.276269629	0.015265874	0.723503652	0.723730371	0.015265874	3.68E-07	7.76E-06	4.96E-05	IL23A	0.046891	0.062102
IL28A	0.11826835	0.118427328	0.019401303	0.88173165	0.881572672	0.019401303	6.39E-08	6.19E-06	3.80E-05	IL28A	-0.054447	0.037445
IL28B	0.096007139	0.094543496	0.013960411	0.903992861	0.905456504	0.013960411	2.62E-11	3.61E-06	2.35E-05	IL28B	-0.095592	0.004714
IL29	0.044570859	0.044438245	0.00512817	0.955429141	0.955561755	0.00512817	1.78E-09	1.13E-05	0.000103909	IL29	-0.061623	0.034716
IL2RA	0.3621398	0.361825204	0.014937264	0.6378602	0.638174796	0.014937264	9.92E-10	7.75E-06	3.37E-05	IL2RA	0.046985	0.100188
IL33	0.121047431	0.121278265	0.013639849	0.878952569	0.878721735	0.013639849	1.34E-08	7.71E-06	5.82E-05	IL33	-0.074	0.033887
IL4R	0.357374735	0.357535006	0.006661041	0.642625265	0.642464994	0.006661041	1.45E-07	3.63E-06	8.16E-06	IL4R	0.152643	0.106854
IL6	0.031737011	0.03661945	0.057204404	0.968262989	0.96338055	0.057204404	5.58E-07	3.62E-05	0.000358888	IL6	0.029144	0.07854
IL7	0.194154941	0.190739338	0.024481389	0.805845059	0.809260662	0.024481389	5.96E-08	5.28E-06	3.06E-05	IL7	-0.008392	0.042048
IRAK1	0.04194806	0.042090127	0.006722804	0.95805194	0.957909873	0.006722804	2.28E-07	2.81E-06	4.34E-06			
IRAK3	0.458579453	0.458763314	0.009146385	0.541420547	0.541236686	0.009146385	3.72E-07	3.81E-06	8.36E-06	IRAK3	-0.059924	0.041213
IRAK4	0.137368156	0.13706882	0.005004844	0.862631844	0.86293118	0.005004844	2.92E-06	7.80E-06	1.44E-05	IRAK4	-0.057913	0.018767
IRF1	0.158485718	0.159448191	0.021037732	0.841514282	0.840551809	0.021037732	3.72E-07	8.70E-06	6.04E-05			
IRF3	0	0	0	1	1	0	2.59E-07	5.36E-06	2.82E-05	IRF3	0.116032	0.09487
IRF5	0.353820097	0.35426882	0.01151087	0.646179903	0.64573118	0.01151087	9.89E-07	3.44E-06	5.37E-06	IRF5	0.535631	0.095298
IRF7	0.350035985	0.350098633	0.013441811	0.649964015	0.649901367	0.013441811	2.46E-07	5.13E-06	1.93E-05	IRF7	0.165061	0.092963
IRF8	0.346725139	0.346738456	0.011314891	0.653274861	0.653261544	0.011314891	2.59E-07	4.09E-06	8.40E-06	IRF8	0.0226	0.109485
IRF9	0.326461476	0.326417135	0.007408603	0.673538524	0.673582865	0.007408603	2.55E-07	4.63E-06	8.25E-06	IRF9	-0.008988	0.070477
IRG1	0.069257778	0.069226777	0.008723477	0.930742222	0.930773223	0.008723477	2.02E-09	2.91E-05	0.000289262	IRG1	-0.033311	0.047454
ITGB8	0.461239658	0.461211703	0.010916334	0.538760342	0.538788297	0.010916334	3.22E-07	3.99E-06	7.86E-06	ITGB8	0.100116	0.09537
JAK1	0.132232169	0.132504702	0.008516609	0.867767831	0.867495298	0.008516609	2.05E-08	3.68E-06	9.65E-06	JAK1	-0.108258	0.00198
JAK2	0.269082355	0.269187176	0.009265033	0.730917645	0.730812824	0.009265033	2.20E-07	2.96E-06	6.49E-06	JAK2	0.036305	0.091482
JUN	0.310562869	0.310865597	0.010844763	0.689437131	0.689134403	0.010844763	2.92E-07	3.04E-06	4.92E-06	JUN	0.180224	0.099768
KCTD14	0.129884005	0.128861125	0.011879695	0.870115995	0.871138875	0.011879695	5.86E-07	6.23E-06	2.37E-05	KCTD14	0.005444	0.048539
KIAA0040	0.17254818	0.172608381	0.005808395	0.82745182	0.827391619	0.005808395	1.79E-07	3.61E-06	1.34E-05	KIAA0040	-0.034352	0.012246
KLF4	0.396488919	0.396391195	0.010060448	0.603511081	0.603608805	0.010060448	5.61E-07	4.98E-06	8.77E-06	KLF4	0.016741	0.080351
KMO	0.259515035	0.259936944	0.01565303	0.740484965	0.740063056	0.01565303	7.48E-07	5.09E-06	1.40E-05	KMO	0.071961	0.100842
LGALS2	0.839410908	0.839423297	0.002686315	0.160589092	0.160576703	0.002686315	4.40E-10	4.24E-06	8.23E-06	LGALS2	0.709679	0.083944
LGALS3BP	0.391758802	0.391949912	0.009248445	0.608241198	0.608050088	0.009248445	1.46E-07	3.87E-06	5.39E-06	LGALS3BP	-0.034124	0.085856
LHFP	0.562941933	0.563218157	0.009237498	0.437058067	0.436781843	0.009237498	1.41E-08	1.98E-06	2.64E-06	LHFP	0.34027	0.11389
LIFR	0.031631007	0.032118511	0.012649565	0.968368993	0.967881489	0.012649565	5.68E-10	1.81E-06	9.46E-06	LIFR	-0.048931	0.055387
LILRA3	0.629495931	0.629416965	0.006461672	0.370504069	0.370583035	0.006461672	9.88E-07	4.49E-06	5.92E-06	LILRA3	0.468627	0.128473
LIPH	0.080463051	0.080574703	0.021167683	0.919536949	0.919425297	0.021167683	3.34E-08	1.82E-06	8.29E-06	LIPH	0.094784	0.089666
LOC388022	0.085092885	0.084997638	0.00628659	0.914907115	0.915002362	0.00628659	1.95E-07	7.46E-06	3.22E-05	LOC388022	-0.020425	0.04721
LPIN2	0.052768366	0.052689195	0.006739459	0.947231634	0.947310805	0.006739459	1.09E-06	6.31E-06	2.04E-05	LPIN2	0.124929	0.118147
LRMP	0.560580665	0.560660119	0.005853493	0.439419335	0.439339881	0.005853493	1.78E-06	5.01E-06	4.71E-06	LRMP	0.654834	0.09235
LRP12	0.331559887	0.33171364	0.008848716	0.668440113	0.66828636	0.008848716	4.43E-07	5.59E-06	1.71E-05	LRP12	0.154747	0.089542
LRRFIP1	0.175863798	0.176035518	0.005925191	0.824136202	0.823964482	0.005925191	6.60E-07	3.39E-06	5.40E-06	LRRFIP1	0.123322	0.099756
LTA	0.180125654	0.18046976	0.010580717	0.819874346	0.81953024	0.010580717	3.53E-08	5.92E-06	2.74E-05	LTA	0.038737	0.05888
LYZ	0.46249723	0.462706159	0.007886964	0.53750277	0.537293841	0.007886964	5.40E-07	3.79E-06	6.11E-06	LYZ	-0.040021	0.048654
MAMLD1	0.09847287	0.09771294	0.010066718	0.90152713	0.90228706	0.010066718	8.83E-07	8.62E-06	5.04E-05			
MAP2K1	0.188563531	0.189022164	0.007624293	0.811436469	0.810977836	0.007624293	7.58E-07	5.34E-06	1.49E-05	MAP2K1	0.082762	0.086024
MAP2K2	0.312568052	0.312851289	0.008612214	0.687431948	0.687148711	0.008612214	7.30E-07	3.24E-06	4.83E-06	MAP2K2	0.058357	0.097066
MAP2K3	0.123034416	0.123036055	0.005328062	0.876965584	0.876963945	0.005328062	8.25E-07	1.22E-05	8.56E-05	MAP2K3	0.042377	0.061375
MAP2K4	0.117801485	0.118113922	0.010259519	0.882198515	0.881886078	0.010259519	2.33E-06	6.53E-06	9.82E-06	MAP2K4	0.126198	0.105772
MAP2K6	0.354423396	0.354669072	0.008172344	0.645576604	0.645330928	0.008172344	1.57E-06	4.72E-06	5.71E-06	MAP2K6	-0.035284	0.056384
MAP3K7	0.067895729	0.067970269	0.005526724	0.932104271	0.932029731	0.005526724	1.21E-07	3.32E-06	6.56E-06	MAP3K7	-0.016253	0.066653
MAP3K8	0.463020422	0.463252018	0.010023159	0.536979578	0.536747982	0.010023159	5.72E-07	4.54E-06	8.20E-06	MAP3K8	0.115615	0.094727
MAPK1	0.168709211	0.168889092	0.006428139	0.831290789	0.831110908	0.006428139	6.13E-07	2.73E-06	3.59E-06	MAPK1	0.170099	0.09488
MAPK14	0.136244208	0.136428363	0.006654475	0.863755792	0.863571637	0.006654475	1.65E-09	3.40E-06	6.32E-06			
MAPK3	0.158893989	0.159223827	0.008740613	0.841106011	0.840776173	0.008740613	2.34E-09	3.62E-06	8.71E-06	MAPK3	0.069705	0.066719
MAPK8	0.214766491	0.214856798	0.006704443	0.785233509	0.785143202	0.006704443	3.14E-07	3.25E-06	5.01E-06	MAPK8	-0.029465	0.041818
MAU2	0.073666746	0.073813096	0.00656991	0.926333254	0.926186904	0.00656991	1.00E-06	4.43E-06	6.49E-06	MAU2	0.062204	0.070503
MAVS	0.114956873	0.115111309	0.010557932	0.885043127	0.884888691	0.010557932	2.09E-07	3.82E-06	8.15E-06	MAVS	0.051769	0.094125
MCOLN2	0.310949139	0.3112912	0.01394658	0.689050861	0.6887088	0.01394658	1.47E-06	6.23E-06	1.34E-05	MCOLN2	0.294477	0.106401
MED30	0.190524022	0.190687177	0.008472136	0.809475978	0.809312823	0.008472136	1.73E-07	4.01E-06	8.40E-06	MED30	-0.020965	0.061562
MEFV	0.148391992	0.147155559	0.011871866	0.851608008	0.852844441	0.011871866	4.14E-08	4.11E-06	2.18E-05	MEFV	0.128762	0.093901
MFN1	0.202721013	0.201590426	0.011668826	0.797278987	0.798409574	0.011668826	1.40E-08	3.70E-06	9.21E-06	MFN1	0.590014	0.088146
MGC39372	0.054559359	0.054542081	0.006051168	0.945440641	0.945457919	0.006051168	1.40E-06	5.47E-06	1.96E-05	MGC39372	0.415007	0.114138
MGC57346	0.147080738	0.146112271	0.014328062	0.852919262	0.853887729	0.014328062	6.02E-07	4.00E-06	1.36E-05			
MICA	0.421666407	0.420953439	0.005900042	0.578333593	0.579046561	0.005900042	4.32E-09	5.32E-06	1.37E-05	MICA	0.802547	0.053909
MMP10	0.696506059	0.696468469	0.007822515	0.303493941	0.303531531	0.007822515	1.57E-06	4.99E-06	9.50E-06	MMP10	0.584149	0.092495
MS4A7	0.580698695	0.580636508	0.007227975	0.419301305	0.419363492	0.007227975	2.93E-09	3.03E-06	4.69E-06	MS4A7	0.298734	0.104436
MSR1	0.640794305	0.640902047	0.006267003	0.359205695	0.359097953	0.006267003	3.59E-08	4.00E-06	8.16E-06	MSR1	0.357362	0.116863
MUC2	0.197196263	0.197001621	0.020901649	0.802803737	0.802998379	0.020901649	1.10E-08	1.87E-05	0.000179038	MUC2	-0.057729	0.043031
MVK	0.227454902	0.227675049	0.008583135	0.772545098	0.772324951	0.008583135	1.34E-07	2.91E-06	5.45E-06	MVK	-0.031159	0.038081
MX1	0.527044709	0.526893284	0.007841286	0.472955291	0.473106716	0.007841286	4.31E-07	4.47E-06	9.90E-06	MX1	-0.023924	0.094529
MYD88	0.240856937	0.24073184	0.008620438	0.759143063	0.75926816	0.008620438	1.10E-07	3.80E-06	9.64E-06	MYD88	-0.0052	0.050708
MYLIP	0.333451582	0.333828502	0.008043107	0.666548418	0.666171498	0.008043107	7.82E-07	4.04E-06	5.31E-06	MYLIP	-0.035979	0.062772
NCAM1	0.353916647	0.352569908	0.016062002	0.646083353	0.647430092	0.016062002	4.97E-08	6.58E-06	4.33E-05	NCAM1	-0.127404	0.002536
NCRNA00152	0.138703788	0.138193401	0.008071575	0.861296212	0.861806599	0.008071575	2.44E-07	3.88E-06	8.33E-06	NCRNA00152	-0.063336	0.001554
NDP	0.208866584	0.208897842	0.010839351	0.791133416	0.791102158	0.010839351	1.49E-06	6.76E-06	2.15E-05			
NFE2L3	0.329259288	0.329326558	0.012906016	0.670740712	0.670673442	0.012906016	2.89E-07	6.27E-06	2.27E-05	NFE2L3	0.262033	0.107636
NFKB1	0.224685561	0.224893952	0.017066809	0.775314439	0.775106048	0.017066809	6.76E-07	5.87E-06	1.31E-05	NFKB1	0.089835	0.076113
NFKB2	0.261657693	0.261802976	0.011984914	0.738342307	0.738197024	0.011984914	3.27E-07	5.34E-06	1.15E-05	NFKB2	-0.008239	0.028061
NFKBIA	0.360257968	0.360507402	0.014094186	0.639742032	0.639492598	0.014094186	1.38E-08	3.89E-06	1.23E-05	NFKBIA	-0.035863	0.02623
NFKBIB	0.132680189	0.132702579	0.008035032	0.867319811	0.867297421	0.008035032	2.55E-07	3.88E-06	9.28E-06	NFKBIB	0.128412	0.090908
NFKBIZ	0.130810438	0.132284745	0.029699885	0.869189562	0.867715255	0.029699885	9.72E-07	1.10E-05	7.91E-05	NFKBIZ	-0.038933	0.03233
NFXL1	0.67689251	0.676893899	0.00523844	0.32310749	0.323106101	0.00523844	2.41E-07	3.72E-06	5.07E-06	NFXL1	0.452302	0.101356
NIPAL4	0.167409002	0.166494782	0.013492884	0.832590998	0.833505218	0.013492884	3.16E-08	7.68E-06	4.90E-05	NIPAL4	0.068017	0.074501
NLRP3	0.455038675	0.454869902	0.007890048	0.544961325	0.545130098	0.007890048	2.00E-07	4.11E-06	1.04E-05	NLRP3	-0.074398	0.026315
NLRX1	0.184651906	0.184973119	0.009863798	0.815348094	0.815026881	0.009863798	2.61E-07	3.19E-06	7.26E-06	NLRX1	-0.056643	0.034263
NMI	0.184973261	0.18496371	0.007251891	0.815026739	0.81503629	0.007251891	1.31E-07	3.36E-06	6.17E-06	NMI	0.21857	0.098448
NOD2	0.371864436	0.371612823	0.007940736	0.628135564	0.628387177	0.007940736	6.06E-08	4.25E-06	1.20E-05	NOD2	0.140586	0.099053
NRG4	0.053091399	0.053417419	0.013230561	0.946908601	0.946582581	0.013230561	6.51E-09	2.23E-06	1.02E-05	NRG4	0.021992	0.04829
NRIP3	0.434619829	0.434626307	0.00883852	0.565380171	0.565373693	0.00883852	2.90E-09	3.41E-06	7.11E-06	NRIP3	0.134784	0.090224
NT5DC2	0.347854075	0.348493096	0.014065627	0.652145925	0.651506904	0.014065627	8.47E-08	3.91E-06	1.10E-05	NT5DC2	0.298409	0.107699
NUPR1	0.31093668	0.310744867	0.016108131	0.68906332	0.689255133	0.016108131	8.91E-10	7.14E-06	2.98E-05	NUPR1	0.053185	0.068024
OAS1	0.464962581	0.464766626	0.009487803	0.535037419	0.535233374	0.009487803	2.45E-07	4.57E-06	1.32E-05	OAS1	-0.063136	0.000659
OLR1	0.613501074	0.612981922	0.00676196	0.386498926	0.387018078	0.00676196	1.88E-08	8.51E-06	4.36E-05	OLR1	0.008117	0.061639
OR52K3P	0.234760063	0.233141705	0.015533211	0.765239937	0.766858295	0.015533211	1.36E-08	9.51E-06	6.30E-05	OR52K3P	0.051335	0.078112
ORMDL3	0.476070036	0.476186586	0.006442352	0.523929964	0.523813414	0.006442352	4.38E-08	3.79E-06	7.12E-06	ORMDL3	0.253466	0.102241
OSM	0.307170091	0.307515199	0.014592306	0.692829909	0.692484801	0.014592306	1.53E-07	3.38E-06	7.79E-06	OSM	-0.05983	0.003525
OTOF	0.288042381	0.287122658	0.017201568	0.711957619	0.712877342	0.017201568	4.23E-08	3.19E-06	8.89E-06	OTOF	0.140703	0.086866
OTUD5	0.31215724	0.312147971	0.006974189	0.68784276	0.687852029	0.006974189	2.26E-07	4.09E-06	7.83E-06			
OVOS	0.117768158	0.116379456	0.015650939	0.882231842	0.883620544	0.015650939	1.34E-07	4.20E-06	1.91E-05	OVOS	0.16215	0.098228
P2RY13	0.480974674	0.480933145	0.009677657	0.519025326	0.519066855	0.009677657	9.87E-07	4.76E-06	5.77E-06	P2RY13	0.234038	0.104001
PAPD5	0.095290247	0.095026289	0.008424368	0.904709753	0.904973711	0.008424368	4.01E-08	3.87E-06	1.47E-05	PAPD5	-0.087055	0.042917
PCDHGC5	0.115144385	0.116279696	0.02606564	0.884855615	0.883720304	0.02606564	4.36E-09	5.17E-06	3.80E-05	PCDHGC5	0.009508	0.057773
PDCD1	0.183490835	0.182752436	0.015285667	0.816509165	0.817247564	0.015285667	5.58E-08	4.47E-06	1.94E-05	PDCD1	-0.000591	0.041391
PEX16	0.148380167	0.148661726	0.007528952	0.851619833	0.851338274	0.007528952	3.05E-08	4.31E-06	1.69E-05	PEX16	-0.0178	0.045122
PGAP1	0.312356434	0.31192923	0.014926513	0.687643566	0.68807077	0.014926513	1.73E-08	6.82E-06	4.46E-05	PGAP1	0.021985	0.049106
PHLDA1	0.445961245	0.446112646	0.00979917	0.554038755	0.553887354	0.00979917	1.34E-08	3.17E-06	5.16E-06	PHLDA1	-0.006775	0.067444
PI4K2B	0.110180073	0.11025502	0.007287088	0.889819927	0.88974498	0.007287088	1.03E-07	4.58E-06	1.68E-05	PI4K2B	-0.046799	0.056613
PIM1	0.437263907	0.43729499	0.009559058	0.562736093	0.56270501	0.009559058	2.86E-06	6.35E-06	7.88E-06	PIM1	0.138731	0.10019
PLA2G4C	0.552830351	0.552761903	0.009833679	0.447169649	0.447238097	0.009833679	5.41E-07	4.67E-06	7.59E-06	PLA2G4C	0.457841	0.109361
PLAT	0.160938725	0.161780802	0.012500584	0.839061275	0.838219198	0.012500584	5.76E-07	4.52E-06	1.60E-05	PLAT	-0.052423	0.02567
PLAU	0.459716498	0.45989564	0.008253435	0.540283502	0.54010436	0.008253435	4.40E-07	3.36E-06	4.30E-06	PLAU	0.093912	0.073645
PLK2	0.14031094	0.139868877	0.013236008	0.85968906	0.860131123	0.013236008	6.51E-08	2.74E-06	6.99E-06	PLK2	0.076055	0.086039
PPP6C	0.238359285	0.238673541	0.007645106	0.761640715	0.761326459	0.007645106	1.29E-07	3.84E-06	1.49E-05	PPP6C	-0.025434	0.026471
PRRG4	0.215308191	0.215267101	0.007878031	0.784691809	0.784732899	0.007878031	1.37E-06	5.20E-06	8.85E-06	PRRG4	0.061622	0.075577
PSTPIP1	0.339770173	0.33973602	0.007303309	0.660229827	0.66026398	0.007303309	4.11E-07	3.39E-06	4.28E-06	PSTPIP1	0.108566	0.07677
PTGER2	0.237370578	0.238734907	0.034855752	0.762629422	0.761265093	0.034855752	1.10E-08	6.91E-06	4.14E-05	PTGER2	0.105474	0.088906
PTK2B	0.249291698	0.249510553	0.008874542	0.750708302	0.750489447	0.008874542	7.26E-07	4.54E-06	8.20E-06	PTK2B	0.068343	0.086955
PTMA	0.1391575	0.139128764	0.006627085	0.8608425	0.860871236	0.006627085	2.61E-07	3.55E-06	5.34E-06	PTMA	-0.215458	0.00086
PTPN1	0.274511272	0.274500004	0.008300353	0.725488728	0.725499996	0.008300353	2.20E-07	6.51E-06	2.41E-05	PTPN1	-0.030078	0.065787
PTX3	0.119426764	0.122011535	0.036326252	0.880573236	0.877988465	0.036326252	3.80E-07	2.79E-05	0.000262154	PTX3	0.064678	0.070875
PYCARD	0.429421454	0.429561577	0.0089993	0.570578546	0.570438423	0.0089993	7.54E-08	2.45E-06	4.27E-06	PYCARD	0.075857	0.066762
RAB7L1	0.207020789	0.20741142	0.008178527	0.792979211	0.79258858	0.008178527	1.91E-06	5.75E-06	7.34E-06	RAB7L1	0.234234	0.104094
RBM43	0.244839186	0.244628097	0.008120107	0.755160814	0.755371903	0.008120107	2.39E-06	6.83E-06	1.13E-05	RBM43	0.014319	0.055161
RBM6	0.175483938	0.175606256	0.009137455	0.824516062	0.824393744	0.009137455	9.09E-07	4.59E-06	6.66E-06	RBM6	0.381621	0.119523
REL	0.397871581	0.398015621	0.008015077	0.602128419	0.601984379	0.008015077	4.60E-07	4.94E-06	9.75E-06	REL	-0.030221	0.031654
RELA	0.04016434	0.04033617	0.006696195	0.95983566	0.95966383	0.006696195	3.65E-07	4.80E-06	1.42E-05	RELA	0.054277	0.061498
RELB	0.2714496	0.271666838	0.008568794	0.7285504	0.728333162	0.008568794	2.35E-07	4.84E-06	8.42E-06	RELB	0.044175	0.079815
RGS1	0.416729598	0.416423475	0.01439633	0.583270402	0.583576525	0.01439633	1.44E-08	4.72E-06	1.88E-05	RGS1	0.035432	0.063931
RGS2	0.392118263	0.392546378	0.009045094	0.607881737	0.607453622	0.009045094	3.67E-07	3.89E-06	6.23E-06	RGS2	0.138527	0.087914
RHOH	0.422781139	0.423258505	0.015007456	0.577218861	0.576741495	0.015007456	3.12E-07	3.91E-06	9.83E-06	RHOH	-0.015811	0.064553
RIPK1	0.213406487	0.213146445	0.006618068	0.786593513	0.786853555	0.006618068	8.09E-07	5.18E-06	1.45E-05	RIPK1	0.013122	0.086111
RNASE2	0.580351	0.579715251	0.00692733	0.419649	0.420284749	0.00692733	6.32E-07	5.01E-06	1.31E-05	RNASE2	-0.062948	0.076092
RNF122	0.058637663	0.059002988	0.00787195	0.941362337	0.940997012	0.00787195	5.49E-09	2.20E-06	5.46E-06	RNF122	0.088451	0.073658
RNF149	0.298849791	0.298932004	0.007402469	0.701150209	0.701067996	0.007402469	9.17E-07	5.09E-06	7.89E-06	RNF149	0.072846	0.076703
RRS1	0.384268518	0.384367788	0.008388467	0.615731482	0.615632212	0.008388467	1.04E-06	4.10E-06	7.21E-06	RRS1	0.028502	0.052672
SAMHD1	0.311547067	0.312238345	0.015646821	0.688452933	0.687761655	0.015646821	4.66E-09	2.99E-06	6.93E-06	SAMHD1	0.152634	0.085955
SCG3	0.273436141	0.271856971	0.009674083	0.726563859	0.728143029	0.009674083	4.09E-07	9.98E-06	4.97E-05			
SCLT1	0.220415883	0.220674885	0.007570761	0.779584117	0.779325115	0.007570761	1.12E-06	4.25E-06	5.47E-06	SCLT1	0.07084	0.071015
SCN3A	0.12931304	0.129747179	0.024795175	0.87068696	0.870252821	0.024795175	1.31E-08	3.36E-06	1.65E-05	SCN3A	0.049103	0.066616
SCN9A	0.522735138	0.522712774	0.009083758	0.477264862	0.477287226	0.009083758	1.26E-06	4.90E-06	6.37E-06	SCN9A	0.238616	0.098929
SEMA3A	0.232783925	0.232731077	0.010940626	0.767216075	0.767268923	0.010940626	1.59E-07	4.12E-06	1.38E-05	SEMA3A	-0.069617	0.008536
SEMA3D	0.068547852	0.068946305	0.012870417	0.931452148	0.931053695	0.012870417	8.35E-07	6.13E-06	2.82E-05	SEMA3D	0.073648	0.068071
SIGLEC9	0.291415449	0.291671076	0.009283555	0.708584551	0.708328924	0.009283555	3.65E-07	4.04E-06	8.00E-06	SIGLEC9	0.060651	0.102094
SLC1A3	0.590726436	0.590725771	0.007134775	0.409273564	0.409274229	0.007134775	5.12E-07	4.18E-06	1.05E-05	SLC1A3	-0.079393	0.004494
SLC41A2	0.404578117	0.404847747	0.010106906	0.595421883	0.595152253	0.010106906	2.52E-07	3.91E-06	8.40E-06	SLC41A2	-0.114716	0.022772
SLC44A2	0.469872219	0.469948125	0.014389361	0.530127781	0.530051875	0.014389361	1.10E-06	7.82E-06	3.72E-05	SLC44A2	0.218425	0.100033
SLC46A3	0.407654211	0.407632868	0.008788465	0.592345789	0.592367132	0.008788465	4.20E-07	4.31E-06	6.81E-06	SLC46A3	0.017478	0.08183
SLC7A5	0.423104083	0.423072989	0.006752334	0.576895917	0.576927011	0.006752334	7.84E-08	4.23E-06	1.52E-05	SLC7A5	0.067391	0.093943
SLC8A1	0.169256616	0.169400636	0.008408669	0.830743384	0.830599364	0.008408669	7.84E-08	4.08E-06	9.24E-06	SLC8A1	0.332193	0.106961
SLCO5A1	0.374469756	0.374299406	0.013440094	0.625530244	0.625700594	0.013440094	6.40E-07	5.81E-06	1.52E-05	SLCO5A1	0.046719	0.08055
SLFN5	0.435363861	0.435421315	0.007589975	0.564636139	0.564578685	0.007589975	1.88E-07	4.11E-06	6.31E-06	SLFN5	0.342904	0.111698
SNORD3A	0.247414212	0.247378598	0.009822319	0.752585788	0.752621402	0.009822319	3.91E-08	4.43E-06	1.04E-05	SNORD3A	-0.047238	0.000145
SPRY2	0.492448712	0.49214054	0.006845074	0.507551288	0.50785946	0.006845074	4.81E-07	3.82E-06	6.35E-06	SPRY2	0.124592	0.086201
SPTLC2	0.126207994	0.126027758	0.008532912	0.873792006	0.873972242	0.008532912	7.12E-08	4.27E-06	9.19E-06	SPTLC2	0.123797	0.099059
SSTR2	0.155180095	0.156238658	0.036541853	0.844819905	0.843761342	0.036541853	7.54E-08	2.16E-06	8.99E-06	SSTR2	0.160286	0.12365
ST8SIA6	0.415042717	0.414359343	0.008858923	0.584957283	0.585640657	0.008858923	2.50E-08	2.96E-06	5.34E-06	ST8SIA6	0.064657	0.087963
STAP1	0.284589431	0.284865045	0.013725104	0.715410569	0.715134955	0.013725104	2.19E-07	4.76E-06	9.77E-06	STAP1	0.494381	0.098539
STAT1	0.545611093	0.54564878	0.007006643	0.454388907	0.45435122	0.007006643	8.28E-08	3.29E-06	6.28E-06	STAT1	0.041917	0.068972
STAT2	0.323979561	0.323894375	0.00693435	0.676020439	0.676105625	0.00693435	6.04E-07	4.57E-06	1.06E-05	STAT2	-0.015113	0.039935
