gene	fold change
C10orf88	-0.219779578
PPP1R7	-0.260501047
SLC7A6	-0.170573295
SLC25A17	-0.277117232
CDC16	-0.162237771
DDX3Y	-0.02529534
ANXA4	-0.100888078
SERPINB2	0.495885295
BRE	0.230070238
SUPT3H	0.006985014
C7orf49	-0.141534421
SENP2	0.166404329
CHD1L	-0.11966743
PLS1	0.403737079
DPY30	-0.337108402
SLC35B2	-0.042501688
TMEM156	-0.245936145
CHCHD1	0.362066151
USP45	-0.061853217
TGDS	-0.019677801
FDFT1	-0.234915756
NDUFB5	0.104805849
MYLIP	-0.012010549
CD226	-0.065647018
MRPS27	0.063331242
FAM83D	0.022881009
COX8A	-0.01995277
USP31	-0.232745075
NRIP1	0.059969924
SNX9	-0.385508544
FAM13A	0.174136881
BIRC2	-0.00913223
PELI2	0.164346665
IQSEC1	-0.200131427
RRM2B	-0.486599728
STK3	0.952114622
CAMK2G	-0.124466711
NLRP3	-0.488843716
TSPYL1	-0.166928277
ACADSB	-0.091397306
BDH1	-0.312469242
ANKRD39	-0.405473374
ACVR1C	0.082456918
C12orf23	0.053315155
OTUD1	0.235322005
SFXN2	0.078263751
C6orf108	-0.35841052
CYTH3	-0.118109266
GPCPD1	-0.279658334
GPR183	0.157281871
MTFR1	0.141490309
C10orf110	0.121829887
ZEB2	0.019860186
RGS2	-0.249775469
TMLHE	-0.003945755
LYN	0.048490409
CCL2	0.396325811
IL21R	-0.141233516
TNFAIP3	-0.427039148
POLR3K	0.141130315
HDAC8	-0.000136193
MINPP1	-0.358089799
CD3G	-0.675567615
ATG4C	-0.302654215
INPP5F	-0.045411158
MIS12	-0.096412497
SLC2A3	-0.093716614
IDS	-0.32579991
MGAT5	-0.244615559
CD82	0.057414054
ORC3L	-0.367856246
ATG9A	-0.684208839
BCKDK	-0.617406397
C6orf145	-0.050215771
GPR132	-0.329503048
DCTN2	-0.264735656
ACBD6	0.274393764
CCNYL1	-0.002783031
ISM1	-0.180206764
RABEPK	-0.291474911
ATP5J	-0.039387351
OR5B21	-0.363774121
NDRG1	-0.292076114
NDRG3	-0.414876883
NAPEPLD	0.051209741
TATDN1	0.256543763
FNTB	-0.167212344
USP17	0.949178982
PDK3	0.211702789
DUSP8	-0.110981009
TBK1	0.442035968
B4GALT6	0.163630398
PDK2	-0.696228851
FLT3LG	-0.390127169
RELB	0.045347195
CRIM1	-0.380706105
CAMK2N1	-0.064765001
TNFRSF10A	-0.059233751
PAM	0.03788477
C12orf45	0.187427747
ZNF382	-0.065052685
LOC100131860	-0.018774841
LOC81691	0.158561383
TAS2R5	-0.000746001
FLOT2	-0.559457997
VPS37B	-0.042875571
FAM82B	0.024084319
C7orf36	0.034918232
PIGF	-0.304985892
ENPP2	0.521567541
RPPH1	0.597151792
FAM105A	0.627346762
MOSPD2	0.257847624
SYAP1	-0.319978454
NSUN2	-0.047920227
TADA3	-0.397884207
ABHD10	-0.117532265
PCSK5	0.146300064
FCRL3	0.066710429
SET	-0.146179143
KATNAL1	-0.161829888
ACVR2A	-0.32911929
KIAA1715	-0.150480593
TXNDC9	-0.343625318
PXMP2	-0.461437452
BCL2L11	-0.222430153
GTSF1	-0.305959962
SPATS2	0.078520654
MOP-1	0.938667438
CCDC125	-0.10134393
MAP3K3	-0.394879803
CCRN4L	0.1544429
UBLCP1	-0.059822078
ZNF738	-0.093040427
RIN3	-0.133835984
FLVCR2	0.044765422
TMX1	0.619794952
KBTBD2	0.254944049
ZDBF2	-0.322900066
ESD	0.047037425
JUNB	0.01614378
PTPRCAP	-0.400068533
NCBP2	0.215649691
POC5	-0.066107381
TMEM67	-0.465418106
PLEKHA2	-0.191758097
KLHL15	0.320983925
PGM3	-0.267924898
SMC3	0.009409242
IL18R1	0.483655408
LIN9	-0.278664955
CUZD1	-0.193153725
FAM184A	0.63295748
ARID4B	0.25183588
AAAS	-0.209006361
SUV39H1	-0.136123502
ITGAL	-0.389439485
MSH2	-0.277417568
GSTM2	0.368262672
FANCC	-0.331023568
PTP4A1	-0.011889427
GPRIN3	-0.335916641
ZBTB1	-0.5587075
ACSL1	-0.309050658
CEP57	-0.250776081
SAMD4A	0.435125459
ABCA1	0.63563338
EED	-0.074093964
SLC25A12	-0.005295402
LOC100131541	0.148455646
LOC100293211	0.644055638
PSMC5	-0.176581871
MTFMT	-0.423706263
UTP3	0.030918115
MIRLET7F1	-0.126161211
METTL13	0.0399769
CEP78	-0.288005056
SP140	1.198668382
UBE2F	-0.005142259
IKZF2	0.270583165
RAB21	0.278108567
ARHGAP11B	1.064713406
GCLC	-0.010173821
STIM2	-0.111001102
SEPW1	-0.395968491
AHCYL1	0.068455378
CAMSAP1L1	-0.067772964
CNN2	-1.155700831
ZDHHC13	-0.103892302
FUT8	0.002114578
MOSPD1	0.344449402
ROCK1P1	1.013185416
ZC3H12A	-0.348501203
POP5	-0.063419244
TCF19	0.144502987
TSC22D2	-0.132314713
CCDC25	-0.336979451
C16orf63	0.13559298
ZNF483	-0.102442925
PTGER4	0.031957693
DOCK8	-0.040712409
OK/SW-CL.58	1.177182664
FLI1	0.288920605
CERK	-0.720866934
GOLPH3L	-0.180310469
PGM2L1	0.124128154
RHEB	0.341430754
N4BP1	1.242366061
FAM35B	0.069670647
SYNRG	-0.07303987
IMMP1L	-0.029576134
THRA	-0.331061689
CCDC28A	-0.618633819
CD80	-0.15349008
ARAP2	0.285137232
RB1CC1	-0.086852631
METAP1	0.05260166
KIAA0586	0.008626809
ZNF805	-0.205029391
ANKRD12	0.151054374
OLFM2	-0.435320323
CAMSAP1	-0.061672706
ECH1	-0.775282739
LOC100128868	-0.191839238
STT3A	-0.516842804
BIRC5	-0.033216084
TRAF3	-0.026185033
AASDHPPT	-0.054275815
CENPL	-0.018661659
ST3GAL1	-0.551262564
PPP1R15A	-0.159353302
NANS	0.035407376
FAM122C	0.87094108
NDUFA8	-0.231606798
MYST3	-0.296186448
CCNI2	0.04450829
ATL3	-0.055135804
RBBP9	-0.303596602
NAA20	0.18515177
SGK269	0.031171365
BCL6	0.320390972
PDIA3P	-0.049739698
FASTKD1	0.221774693
ACER3	-0.268488493
PPP3CA	-0.335117687
C14orf126	-0.60126469
LFNG	-0.646422659
CA2	0.101206556
MBNL2	-0.335054481
NINJ1	-0.454410594
C1orf25	0.119139291
ABCG1	-0.307675128
SSH2	-0.306669438
MOCS2	0.03996933
DNAJC11	-0.100566674
CSTF3	0.317746555
FLOT1	-0.022479067
IQGAP3	-0.025869611
ASNS	0.198188187
LOC339803	0.162819953
DZIP3	-0.142009235
RAB10	0.120256582
PLOD1	-0.322082628
TBL3	-0.31000626
FAM46C	0.378528413
UBE2C	0.122428248
SECTM1	0.596251551
ANKRD13B	-0.389389863
C2orf43	-0.037393118
TRIB3	-0.148397406
XRN1	1.289336174
IMPAD1	0.287334576
C20orf72	-0.246709202
IL1B	-0.079170425
USP3	-0.321284221
EIF3J	0.275034861
GFPT1	-0.089843711
TUBGCP4	-0.078172346
OAZ1	-0.312760384
SGSH	-0.24464188
GOLGB1	-0.057264111
LYRM5	0.093285041
EML4	-0.205323241
GTSE1	-0.39577079
POLA2	-0.428906063
SGCB	0.299629016
C12orf32	-0.218194752
ITGA2	0.261187739
HLA-DPB1	-0.232992179
OCIAD2	-0.092342135
ABCC4	-0.190953683
FAM111A	0.815035441
ADRBK2	-0.147443343
SUZ12	-0.048201642
ZNF429	0.446064157
EIF4G3	-0.071930275
TNFRSF10D	0.58695756
CAMK1	0.260944029
ETHE1	0.115741579
DIRC2	-0.166283501
ZNF583	-0.11193359
GPR180	0.87577577
IGHD	0.701438051
AP3M2	-0.043303545
ARHGAP25	0.06398284
TBC1D10C	-0.051570516
FAM129A	-0.107828359
SCARB2	1.317078607
TMX2	0.020854089
ZHX2	0.020511579
TMEM5	0.192713328
ADAL	-0.015030006
TP53BP2	0.175916734
RPS24	0.066859213
INPP5D	0.140208151
SC5DL	-0.218579414
TRMT1	0.030032348
C3AR1	1.274323689
RNF103	-0.130286064
SNUPN	-0.136780618
POC1B	-0.046184621
HIF1A	0.396151544
STXBP1	-0.219943404
FBXO45	-0.00600818
ZBTB10	-0.077621798
OCLN	-0.037174888
LARP1	-0.348042502
SH3BGRL	0.253182295
CBX5	-0.136612935
CLDN12	-0.046629557
CMAS	0.051699748
REXO2	0.22322273
PUS3	-0.14419705
IQCG	0.103025404
AKR1B1	-0.12714016
CDC7	0.094314474
CHAC1	0.274646541
PHF20L1	-0.174690215
FAM63B	0.005003641
CCPG1	-0.220227126
DNAJC9	-0.203532937
DTYMK	-0.450842683
APOOL	-0.014482886
MYADM	-0.261939977
CCND3	0.158939579
PAFAH1B3	-0.165961192
RALB	1.182129372
LRRC42	0.044243972
ERCC2	0.063410515
PELI1	-0.205355681
MRPS18B	0.146137858
PIGA	-0.106284424
UBL3	0.177904401
KLRA1	-0.015298366
PPID	0.133600295
TIAM1	-0.176865666
SMARCAD1	-0.183423212
ZNF778	0.023882008
SNRPA	-0.141793382
SMURF2	-0.345195996
JAK2	0.363092405
SPOCK2	-0.434159331
MRPL20	0.007569297
NBN	0.654786443
CRTAM	-0.148148088
GNG5	0.578906058
VAMP1	-0.325392851
ETFA	0.134980762
RILPL2	-0.484984133
RAB27A	0.155863744
MYEF2	0.274861626
RAD1	0.312848757
CCDC69	-0.557092678
GSR	-0.058695557
UAP1	-0.10726175
PIGB	-0.129765401
SUMO2	0.087035146
JUN	-0.153121784
TRNT1	0.119466789
STRBP	-0.285225697
IDE	-0.381251528
NOP56	-0.022822592
TAF1D	0.00237277
MPV17	-0.126728018
OXR1	0.142055347
MPZL1	0.195139699
SLC27A4	-0.239604009
MIR31	0.174002867
BRCC3	0.096207122
JOSD1	-0.620458674
RFC1	0.262867975
SCPEP1	-0.335432901
ZDHHC21	0.024158443
DUSP14	0.205305051
SLC39A1	-0.307587564
SRR	0.165733207
IL6ST	0.384056067
NIPA1	-0.063475589
ACADM	-0.198181233
ASPHD2	0.022614899
COPS6	-0.317736042
ADK	0.218306393
C12orf11	0.014616217
RCN1	0.453817435
TPP1	-0.247926697
CBX6	-0.109091137
PASK	-0.693016011
NAB1	0.010028046
NR3C1	-0.046352338
PINX1	-0.430314423
WDR54	-0.384337097
GADD45A	-0.151371452
40789	0.069832504
NUS1	-0.095879559
COQ5	-0.274622683
FAHD1	0.02759599
TTC12	-0.147731507
ST7	-0.334166883
PMM2	0.086315185
ARID5A	0.285662704
C9orf21	0.163251379
AES	-0.157684424
C10orf54	0.082392684
ACAD9	-0.1586089
NDUFA2	-0.311085264
NFE2L1	-0.176423577
RAB5B	-0.605406619
MAN1A1	0.591068201
TET2	0.321739344
KIAA0664P3	-0.008088228
C17orf75	-0.017556366
RFWD3	-0.269854587
ZNF585B	-0.08935097
MRPS34	-0.326640877
RAPGEF2	-0.068322164
MANEA	0.256329503
MRPS28	-0.194049995
OR56B1	1.404954454
TMEM14C	-0.596871913
ALG3	-0.29890058
PPTC7	-0.1210222
PITPNC1	-0.33951851
USP28	0.482638735
CREM	0.4087506
NRN1	-0.271016045
APOA1BP	-0.425010077
E2F6	-0.281706108
EMG1	-0.337027863
NRM	-0.226941723
BCL9	-0.193921225
STK38L	-0.381803592
PAXIP1	-0.221035645
TTF2	-0.053966581
SYTL2	-0.25661259
PTPN22	-0.429922979
TSPAN18	-0.159684946
FBXL20	-0.183188103
GBAS	0.031081265
UFM1	0.209236037
PSMD10	-0.158906676
LY96	0.627988462
EHD4	0.999423192
MTIF2	-0.011659465
AHI1	-0.231241235
HLTF	-0.526295444
NFKBIZ	-0.106534042
RNASEH2A	-0.239107627
C14orf106	-0.118569021
ZBP1	1.424595718
CHML	1.067952616
CARD8	0.004368781
CCDC6	-0.146824916
COX7A2	0.19017398
ATP6V0A2	-0.019789519
STK10	-0.538429687
ANP32A	-0.597680137
C12orf10	-0.431376451
C2orf3	-0.281845136
IFI30	0.439106178
KLF6	0.060857648
MBOAT7	-0.270116159
GTF2H5	0.285552145
MLXIP	-0.221847653
ARSA	-0.219477139
DHX37	0.316803947
PFDN6	-0.321461572
IGF1R	-0.295346513
DPAGT1	-0.032429898
TGFBR2	-0.197246574
TMEM120B	-0.30000511
TSPAN2	-0.62340542
FAM173B	-0.223448734
ZNF107	1.132432563
ZNF529	-0.183729893
NAF1	-0.012763871
FOXP3	-0.347606757
ADAM17	-0.123660056
ARL5B	0.349376664
STAP1	1.439407786
HCG8	-0.176672633
C6orf153	-0.104938042
INTS12	0.452347538
ACLY	0.084587159
PSENEN	-0.047315546
PRIM2	0.348028824
AMD1	-0.248866137
SMC6	0.148116247
ARL5A	0.21043011
MRPS35	-0.27484187
THEM4	-0.450176522
RWDD4A	-0.125347676
LACTB2	-0.119453369
ATF7IP2	0.236374653
KIAA1324L	-0.169889991
IPP	0.100795133
LMAN1	0.055773706
CD37	-0.311154409
DARS2	-0.5433729
ICOS	0.289457289
NRAS	0.258195902
FOSB	-0.329822621
C14orf159	0.693525908
ME2	0.681884769
TRERF1	0.189574986
CCDC88C	-0.207222125
C9orf72	-0.018702003
ZNF138	0.020421884
HERC1	-0.388125202
KARS	0.177188966
SELK	-0.215133667
USP1	-0.021834158
ACTL6A	-0.080313872
CENPJ	-0.118191295
GNGT2	0.09720306
TRPC1	-0.197028414
C11orf17	-0.201356657
VAV3	0.049849655
KCNQ5	0.077323942
ZNHIT6	0.186311701
VPS25	0.053403838
MBD5	0.198875383
SLC25A36	-0.196138965
FER	0.029393193
ABCF2	-0.323122211
HGSNAT	-0.279010734
ZNF248	-0.005601872
FAM134B	-0.206565556
RPS6KA5	1.031603202
AKD1	-0.080759142
ST3GAL5	0.023937785
H3F3B	0.055700341
ALPK1	1.008292489
IRF9	0.862019699
PRKDC	-0.126365895
APPL2	-0.394848654
PPIH	0.208097609
TBCE	0.272336293
CDK8	-0.544059922
EME1	-0.27475679
THUMPD2	-0.016370155
ABHD5	0.219135809
ENOPH1	0.01929681
FERMT3	-0.423979734
MPZL3	-0.791851929
MYH10	0.136962549
SLC4A1AP	-0.00661756
PARK7	-0.540471085
ORC5L	-0.222667268
CCDC47	0.275425784
JMY	-0.151542009
EIF3M	-0.358574038
ZNF232	-0.005521459
PDIA4	-0.202106082
GALE	-0.146188968
XIRP1	0.28679468
ZNF26	0.00257493
ELOF1	-0.251958716
RNF168	-0.692120528
MTMR4	-0.292249455
PHAX	-0.166294497
UEVLD	0.036290775
MLEC	-0.131448301
WBP4	0.331137223
ASAH2	0.687201901
C11orf73	-0.098834971
C3orf1	-0.19016559
PPIL3	-0.336575077
ARL1	-0.044719335
CYB5R2	-0.080639287
GTF2H2D	-0.083336575
NOL7	-0.289062485
AMICA1	-0.693667409
MSC	0.127370665
MIR23A	-0.277688062
GFM1	-0.279156665
KLHDC2	-0.456687046
IKBKE	-0.278803313
POLR3H	-0.295157562
UCHL5	0.350157075
RSL24D1	-0.170008663
LSP1	-0.122589507
SERPINE2	-0.281915213
NFAT5	-0.034757586
SAMSN1	0.151056309
GUF1	-0.369239576
NARS2	-0.236620046
SERTAD1	-0.25121452
INTS7	0.156998099
THOC7	0.210337973
CCNG1	-0.071556319
NCALD	0.083310858
ZNF682	0.314154589
HMGCR	-0.108461885
MRPL16	0.235497416
HPS3	-0.745609318
LRRCC1	0.391534809
PCCB	-0.188887932
PSMA5	0.303679468
STK39	-0.156897464
ELOVL1	-0.195956311
C22orf28	-0.27332305
ZNF267	0.304519645
NUDT5	-0.278944413
CYP4V2	0.033148928
SLAMF7	0.521606155
OBFC2A	0.444499969
SPN	-0.338986647
MFGE8	-0.253524315
KIF21A	-0.180976734
SNX4	0.135393374
TMC8	-0.228613263
CHAF1A	0.345044703
SLA2	-0.08033789
GTF2H2	-0.073078684
TKT	-0.254306084
SPTBN1	-0.638039739
CAPN7	-0.312112152
ADAM19	0.31493945
LEPROTL1	-0.463425546
SYNJ2	0.311597799
RHOC	0.217018384
NOP2	-0.247927689
FKBP14	-0.116749482
UROD	0.276346098
ATP8A1	-0.292793341
PARP1	-0.284037094
PGAP1	1.172217402
DCTN6	-0.095573262
CENPC1	-0.040028238
GMPS	-0.247623608
VAMP4	-0.503146391
NFKBIA	-0.141509984
KIAA1143	0.109865863
MEA1	-0.383373178
TAS2R4	0.158022623
LHFP	0.018188168
CENPK	-0.262930032
SLFN13	0.641660816
UHRF1BP1L	-0.031002984
TRDMT1	-0.166632175
SLC25A39	-0.156728039
ZNF449	-0.213688793
MSH6	-0.102682992
WDR74	-0.059697169
MYST4	0.11218065
C17orf81	-0.229966912
PPM1G	-0.102687897
HAUS6	-0.211681708
CBS	0.118602528
COX5A	0.053597473
RALGAPA1	-0.274347323
ZNF780B	-0.220249937
NXT2	0.387285933
MRPL32	0.312903483
ARHGEF18	-0.482609555
YWHAH	0.080431561
MTRF1L	0.166774878
TAF9	0.219437482
RRAGD	-0.325243541
BMS1P4	0.304115029
TIMELESS	0.24231423
ARID4A	-0.483956892
ECHDC1	0.020715908
AARS	-0.117944324
ODF2L	0.977687706
TRAF3IP3	-0.534727776
CLIC4	-0.092216349
PVRIG	0.240393578
LOC100288114	0.248393893
OFD1	0.207641427
AHR	0.057887098
VIM	-0.122099899
FGL2	0.551269654
C9orf5	-0.6145526
TSEN15	0.098029935
SCARNA7	-0.227664938
ACSL4	-0.034889397
SLC39A6	-0.030122981
AUH	-0.039618289
40605	-0.00760358
TNPO2	-0.172134409
RIOK2	-0.046165437
TOP1	0.346829396
KIAA1107	0.144985924
ZNF257	0.609446965
BAG2	0.313807973
UBE2MP1	-0.150639846
MRPL47	-0.059216592
DLEU2	0.007716007
SHMT1	-0.244231412
FBXO32	-0.221067307
AGPAT5	-0.287511762
PIK3CA	-0.001495351
FAAH2	0.064040911
LIAS	0.028224104
GALM	0.315745812
EIF6	-0.102464844
AKAP13	-0.192404791
FOXRED1	0.145724006
KDELR2	0.085521722
ABLIM1	-0.421070154
PALB2	-0.057085058
EIF2AK4	-0.149891985
TIMM23	0.04752542
TOPBP1	-0.257769733
FBXO33	-0.086460311
LOC100132099	-0.528752882
OBFC1	-0.24232802
PIGX	-0.355123379
C20orf177	-0.270034808
PLCD1	-0.461860589
GSTK1	0.167629194
ARL2	-0.281532017
ANKRD26	-0.068398975
MTBP	0.130663966
GSTM1	0.033920997
ZCCHC9	-0.096030651
HIVEP2	0.146533017
DAD1	-0.450626364
ZNF570	-0.251622079
RNF19A	-0.056180033
ANKRD36B	-0.374103398
CALR	-0.169358244
MRPL35	0.051256241
ZNF767	-0.185134654
TAF1A	0.079773451
LENG8	-0.16717529
LOC100132284	0.134809445
APOL6	1.088067197
EIF2B3	0.025691329
RBL1	-0.404386128
PRDX4	0.778773766
SPAG1	-0.179818837
RPAP3	0.202340431
GEMIN6	-0.072668504
MRPL45	-0.099414813
ALCAM	0.048932865
C21orf91	0.415573135
ADAP1	-0.108906084
BCL11B	-0.380420865
ATP5J2	-0.160022837
WDYHV1	-0.034508874
PGM1	-0.100547526
TOMM70A	0.063422425
LOC400590	-0.098311364
KDM6B	0.079957989
AIFM1	0.147078985
MORF4L2	-0.047757033
ZBTB4	-0.382762922
SKIL	-0.261562249
NOL6	-0.190301952
APOL1	1.598107404
ST20	-0.071794639
CBX7	-0.540836753
SLC25A11	-0.136372366
PRPS2	0.47455779
ZC3HAV1L	0.032066366
XPOT	-0.271129521
ACAA2	0.009513204
RNF125	-1.011707051
ACAT2	-0.260602396
FAM78A	0.409519778
NGDN	-0.224610943
PARVB	0.126018822
TRIP10	-0.304821049
SBNO2	0.078430267
IER3IP1	-0.498412244
ITGAV	-0.330736989
CNST	-0.269923638
DARS	-0.157184722
PWP2	-0.085027285
DNAJC12	0.163246301
OGFOD1	0.040086557
SRGN	-0.016619674
DCLRE1B	-0.371634703
LRRC37B2	0.295561758
BIVM	-0.062730107
STRADB	0.311297723
MIR142	1.017332011
NT5DC3	-0.341686332
GDPD3	-0.049721273
C10orf2	0.07867512
SNAPC1	-0.065482369
GSG2	-0.2520349
NCAPD3	-0.133994586
GCLM	-0.426245531
YWHAG	0.22131529
TMEM154	-0.672384232
ANP32B	-0.332626268
SAMD12	-0.218372335
WIPI1	0.161118171
LOC730167	0.589186743
ABCA7	-0.19563455
PDCD11	-0.226259218
GNPDA2	-0.053154949
PCMT1	-0.226943052
ARPC1B	-0.328865941
ELF1	0.37583821
NEDD8	0.038457
KIF24	-0.168159805
POLR3B	-0.236056681
USP12	0.732252992
NIT2	0.051078053
CARM1	-0.153217005
RIMKLB	0.459398527
TSPAN14	-0.552782774
MRPL18	-0.155340685
MRPL40	-0.273052243
VLDLR	0.05132066
ARNTL	-0.170828325
BMPR2	0.137922274
SLBP	-0.077560216
C2orf67	-0.097583391
C17orf53	-0.288709808
LETM2	0.290220092
IL6R	-0.066673174
SRPK1	-0.389767685
NOC2L	0.102987579
MAST3	-0.260403806
LSM4	-0.031417745
EIF1AX	-0.060086232
VDAC3	-0.285670299
LOC100133130	0.469341093
DGKA	-0.169377315
UBA5	-0.063664432
TMEM194A	-0.075009231
FDPS	-0.021245356
C14orf104	0.098626435
SUPT16H	-0.35989271
YPEL5	0.050102229
MIR24-2	-0.302314817
EXOSC5	-0.464783856
VKORC1L1	-0.117198168
RAPGEF6	-0.040862078
LOC389842	0.524241603
KGFLP1	1.646192585
NIPA2	-0.076130918
RCL1	-0.097621741
TRMT112	-0.072748171
SLC2A1	-0.082006368
AEN	0.005667664
AKNA	-0.206202216
PA2G4	-0.227340635
CCDC124	0.011614534
FLJ35776	-0.66494273
NUP107	-0.242933213
HYOU1	-0.461001819
XPO1	-0.340137317
NAA15	0.079674818
FARSA	-0.267435963
MRPL4	-0.233865387
CALU	-0.044403148
PHF11	1.015036469
CDC42EP3	-0.195493697
PTPN4	-0.32702698
CPD	-0.229539843
PAWR	0.255627476
MTX2	-0.258283807
TALDO1	-0.296432398
EPB41	-0.28806488
EIF1AY	-0.184491849
VCP	-0.20832348
C13orf15	-0.034792947
SLFN12L	0.513262865
SSNA1	-0.283097133
LAPTM5	-0.467085816
HEATR1	-0.166485735
DNAJC2	0.068458565
LZTFL1	-0.204611678
USP17L6P	1.561158564
RAB38	-0.039191734
PTPLAD1	-0.309411248
CCDC52	-0.523194655
ICT1	-0.262497405
MT1G	1.344984513
MPHOSPH6	-0.226717443
HDDC2	0.177706215
GJB2	0.057404718
OTUD6B	0.152105196
HN1	-0.273345278
SDCBP	-0.170722961
PSMD7	0.109251021
EIF2C2	-0.107297851
ANKRA2	-0.273806931
SAMM50	-0.175205992
DSC1	0.256200282
FAM98B	0.007225519
TBX21	0.349696274
