#gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SLC15A4	1345.082423	-1.4677535	0.035511499	-41.33178102	0	0
TMCC1	364.2580413	0.767358848	0.018182089	42.20410734	0	0
TMCC3	1553.107167	-2.414512542	0.057624627	-41.9007055	0	0
NMNAT1	153.6400847	0.857187213	0.022432699	38.2115065	0	0
EPB41L5	228.3079715	-2.876069702	0.044406013	-64.76757393	0	0
FAM72D	201.6416618	-1.647014805	0.040907075	-40.26234574	0	0
FAM72B	282.5996883	-1.736033154	0.034390111	-50.48059247	0	0
FAM72A	233.9979618	-1.855962273	0.040934853	-45.33941504	0	0
HIST2H2BC	814.2152322	-2.080682403	0.045236794	-45.99535497	0	0
HIST2H2BE	429.2003576	-2.192956092	0.051999837	-42.17236458	0	0
KLF13	5303.519969	-0.952515568	0.023421281	-40.66880749	0	0
SAMHD1	13790.30315	-1.174302339	0.02302149	-51.00896345	0	0
FAM198A	140.3578769	2.052116214	0.053550014	38.32148788	0	0
RABAC1	771.2884402	-1.897894626	0.03526984	-53.81069535	0	0
PRKRIR	938.9823079	0.798359992	0.018505376	43.14205798	0	0
GTDC1	402.2148338	0.898951657	0.023775853	37.80943857	0	0
PTPRU	37.47929829	-5.473984045	0.129816741	-42.16701167	0	0
PRKAG2	1439.504529	-1.262290728	0.026160859	-48.25112003	0	0
LOC100505676	463.462527	2.617958182	0.067101383	39.01496625	0	0
NAPA	4228.839194	-1.185333933	0.016728261	-70.85816997	0	0
APOBEC3A_B	21044.61815	-6.484932311	0.122346737	-53.00453831	0	0
CDKN1C	201.3038972	-5.362420299	0.135201838	-39.66233296	0	0
STX17	1471.383992	-1.444187556	0.017775063	-81.24795857	0	0
PREPL	356.0980187	1.814444508	0.041843302	43.36284187	0	0
SPSB1	799.7187399	-1.936084639	0.034499789	-56.11873818	0	0
APBA1	106.8421634	2.624724094	0.06281304	41.78629306	0	0
LGALS3BP	6325.450993	-2.281140548	0.043249086	-52.74424914	0	0
ZNFX1	22306.72819	-2.774641846	0.025171419	-110.2298552	0	0
FAM168B	1372.793521	1.082885388	0.028794554	37.60729842	0	0
IFITM3	10610.4257	-3.063531667	0.053120237	-57.67164921	0	0
IFITM1	7111.14426	-5.883901471	0.062000399	-94.90102574	0	0
TMEM229B	1529.208642	-3.175136127	0.063249068	-50.20052059	0	0
MRPL40	1056.190682	-1.683504705	0.032825157	-51.28702725	0	0
TRIP4	1719.874359	-1.34669433	0.020852614	-64.58155871	0	0
UNC93B1	5994.322081	-1.936032023	0.026350681	-73.47180093	0	0
GPR161	205.602259	-2.42909051	0.064131027	-37.87699402	0	0
NUDCD1	809.0764514	-1.04309763	0.023185427	-44.98936526	0	0
R3HCC1	153.97417	0.996723364	0.024873744	40.07130386	0	0
AZI2	1405.051434	-1.202075814	0.026750363	-44.93680318	0	0
IFI6	10898.7153	-3.631255651	0.046292009	-78.44238577	0	0
RTCB	5860.120826	-1.989465984	0.026456476	-75.1976936	0	0
KIAA0232	873.9584981	0.98802111	0.023778669	41.55073172	0	0
TRMT2A	427.1657254	1.101211919	0.024540649	44.87297523	0	0
HRASLS2	37.34748911	-3.430674996	0.085460597	-40.14335401	0	0
XLOC_006841	315.2545907	-2.847486845	0.055809958	-51.02112507	0	0
ISG15	39546.32504	-6.203624381	0.068804809	-90.16265732	0	0
ACOT9	2302.82593	-1.110927007	0.020798422	-53.4140053	0	0
MFN1	1496.30423	-1.669006836	0.033798391	-49.38125128	0	0
MIER1	1709.342034	-0.702916164	0.0160239	-43.86673303	0	0
PAPD7	2482.091967	-2.479803897	0.030966632	-80.07986997	0	0
PAPD4	9001.513116	-1.535777104	0.032625749	-47.0725471	0	0
PAPD5	1059.765518	-0.905293874	0.022386522	-40.43923807	0	0
NAMPT	23597.71925	-2.135743812	0.045482274	-46.95771854	0	0
OPTN	6713.134263	-2.307497198	0.03771788	-61.17780797	0	0
FOXD2	44.36556454	2.466356286	0.060667043	40.65397221	0	0
SLFN12	1639.349529	-1.69667272	0.027197453	-62.38351526	0	0
APPL1	2580.046297	-1.013243815	0.020977505	-48.30144503	0	0
GTPBP1	3573.465363	-2.473120981	0.024728721	-100.0100657	0	0
IL15RA	1817.553231	-3.70805186	0.059450905	-62.37166423	0	0
BCL9	127.724388	2.256666199	0.047683829	47.32560819	0	0
LYRM7	90.73293742	1.542856954	0.039028902	39.53113871	0	0
GIGYF2	1102.555234	0.743359595	0.017871183	41.59543395	0	0
OAS1	12821.21056	-4.47917626	0.055768219	-80.31772117	0	0
OAS3	59636.33322	-4.277354303	0.048293543	-88.56990035	0	0
OAS2	10633.20716	-4.680855735	0.066083606	-70.83232875	0	0
PCGF5	5266.32391	-1.573203213	0.02482803	-63.3639971	0	0
C6orf62	14440.32699	-1.423453195	0.022378208	-63.60890038	0	0
CLIC1	12167.94427	-0.931278536	0.015694161	-59.33917215	0	0
DDX60L	17622.06153	-4.256645865	0.03900841	-109.1212334	0	0
TBK1	1838.156702	-0.754320428	0.017046891	-44.24973602	0	0
HIRA	2354.435229	-1.260905005	0.011387596	-110.7261772	0	0
CLPX	563.2180897	0.928667369	0.018958829	48.98337189	0	0
RIPK1	2973.516325	-1.226228722	0.023872336	-51.36609755	0	0
RIPK3	638.4974408	-0.936900424	0.023507205	-39.8558827	0	0
MCOLN2	3139.569781	-2.823857135	0.050034269	-56.43846135	0	0
GTPBP2	1903.691674	-1.333497381	0.018454158	-72.25999552	0	0
TINF2	1734.04451	-1.611014095	0.024411169	-65.99495962	0	0
PTPRA	2759.823729	-0.869877888	0.015044593	-57.8199667	0	0
GAPVD1	1053.786631	0.523402947	0.013428667	38.97653732	0	0
MYD88	6022.440486	-2.755250315	0.024045591	-114.5844299	0	0
CMC2	583.3476261	-0.859296843	0.018706676	-45.93530264	0	0
MX2	22260.28348	-4.715809949	0.049386556	-95.48772586	0	0
MX1	65056.06038	-5.441989733	0.057822918	-94.11475474	0	0
IFIT5	4234.755477	-2.375312019	0.042329294	-56.11508646	0	0
IFIT3	20519.10677	-6.302556082	0.076540778	-82.34246155	0	0
IFIT2	14198.6839	-5.748014829	0.051961573	-110.6204923	0	0
IFIT1	33915.74167	-5.707500213	0.119938174	-47.58701937	0	0
TM9SF3	1154.330457	1.818927724	0.042308235	42.9922858	0	0
SPATS2L	2567.721694	-1.411209875	0.020098307	-70.21536188	0	0
CPSF7	1128.160661	0.549271251	0.014347859	38.28245523	0	0
AGPAT3	4068.697797	-0.708642722	0.017171333	-41.26893941	0	0
MBD5	300.4437183	-1.038087939	0.023420688	-44.3235458	0	0
XLOC_001915	274.1384677	-5.774954804	0.076208242	-75.77861186	0	0
DNAJA1	11771.44309	-1.395374555	0.014791184	-94.33825839	0	0
IRF2	4548.23431	-1.789121401	0.024096973	-74.24672686	0	0
IRF1	7442.131776	-2.213631789	0.034334818	-64.47192354	0	0
IRF7	4222.545362	-3.384031479	0.037253246	-90.83856637	0	0
XLOC_009588	228.0499686	-2.959473295	0.063896917	-46.31637035	0	0
XLOC_009589	338.3487891	-2.834122514	0.056869049	-49.8359399	0	0
CASP7	2012.705095	-1.505364707	0.033227401	-45.30491894	0	0
PANX1	3150.227189	-0.960420419	0.025472128	-37.7047575	0	0
KLHL12	816.3925132	0.703799377	0.016152479	43.57222158	0	0
TRIM69	2428.904671	-1.532986292	0.027726331	-55.28990882	0	0
PKN2	1205.504179	-1.134754697	0.024794849	-45.76574368	0	0
ZKSCAN1	1300.632064	0.860985913	0.01863	46.21502506	0	0
XLOC_006582	303.5209183	-3.712684282	0.081022825	-45.82269604	0	0
ELMO2	1962.198488	-1.170202606	0.01789534	-65.39147204	0	0
ERP44	3809.673372	-0.927177532	0.022169602	-41.82201987	0	0
SMU1	1857.926211	-0.662902755	0.012964629	-51.13164136	0	0
KARS	5084.958603	-1.194817288	0.016082328	-74.29380334	0	0
EPSTI1	11157.53943	-3.588211951	0.038074862	-94.24097031	0	0
XLOC_009651	85.37065741	-2.867878661	0.069637319	-41.18307087	0	0
GPR180	1285.615867	-1.908717812	0.025463169	-74.95994877	0	0
AKIRIN2	1920.055441	-1.005274294	0.026116102	-38.49250941	0	0
MAX	2061.938397	-1.225267178	0.028411208	-43.12619141	0	0
PARP14	32104.84807	-3.209426925	0.032309558	-99.33366809	0	0
PARP12	5788.107819	-1.571759429	0.016282501	-96.53058772	0	0
PARP10	5082.571654	-3.021129064	0.025741702	-117.3632222	0	0
EIF2AK2	10204.87656	-2.925225908	0.025428753	-115.0361548	0	0
NKD1	34.53121215	-3.394380844	0.077105745	-44.02241182	0	0
PQLC2	161.1046752	1.117566406	0.029738069	37.5803288	0	0
NFIX	472.2077946	-2.914435206	0.054981252	-53.00779996	0	0
IFIH1	37663.56223	-3.697876884	0.043472311	-85.0628088	0	0
SLFN12L	389.0247795	-3.078994652	0.054745818	-56.24164158	0	0
ETNK1	2819.580075	-0.672441639	0.017331086	-38.79974106	0	0
MNDA	7189.51779	-2.403586386	0.04624336	-51.97689775	0	0
CD47	5132.703043	-1.223890944	0.032575035	-37.57143884	0	0
RABGAP1L	2560.36773	-2.357287757	0.022723442	-103.7381485	0	0
FAM122C	214.1051521	-1.354133922	0.026105032	-51.87252577	0	0
TMEM219	2308.04129	-0.932879239	0.019758466	-47.21415251	0	0
TRIM5	2580.334523	-2.160469141	0.028025845	-77.08845621	0	0
AIDA	556.6468234	-1.685614381	0.02195936	-76.76063234	0	0
PDGFRL	922.4630576	-7.575970759	0.091610748	-82.69740092	0	0
PPA1	2748.347711	-1.586534001	0.040750635	-38.93274336	0	0
SH3GLB1	4182.229305	-0.663246574	0.015271889	-43.42924205	0	0
ASCL2	163.6331684	-3.361851678	0.089393675	-37.60726569	0	0
TOR1B	3746.666705	-2.606728632	0.025707563	-101.3992893	0	0
DCK	2915.011158	-1.33973851	0.027421371	-48.85745849	0	0
INIP	579.7124795	0.969760341	0.024129215	40.19029752	0	0
TRIM25	9224.017247	-2.516002284	0.024995914	-100.6565423	0	0
TRIM26	3988.88811	-1.009772684	0.024987346	-40.41136153	0	0
TRIM22	10201.70267	-2.949784628	0.029571094	-99.75230024	0	0
RNF31	4051.590249	-1.000382467	0.014287961	-70.01576223	0	0
SP140	2788.522395	-4.083010898	0.03589419	-113.751302	0	0
ZNF615	124.3438755	1.22086549	0.026503311	46.06464089	0	0
ZNF618	1676.122662	-2.889125285	0.043732192	-66.06403999	0	0
BAG1	2094.966735	-1.434440931	0.020869193	-68.7348538	0	0
MYL12A	17011.06883	-1.027271527	0.018814371	-54.600364	0	0
RILPL1	77.52679522	1.603523281	0.037217557	43.08513031	0	0
XLOC_002895	743.9589487	-1.894239931	0.024963606	-75.88005977	0	0
FMR1	1927.932251	-1.485373881	0.022766069	-65.24507375	0	0
CALCOCO2	2532.855245	-1.249288834	0.019976119	-62.5391153	0	0
MIR548N	1893.80387	-1.362494277	0.017705881	-76.95150856	0	0
ZSCAN22	59.04835899	0.82537882	0.017825046	46.30444262	0	0
IFI35	6584.73879	-2.488237099	0.023112497	-107.657648	0	0
MICB	1318.402801	-1.437204261	0.02728385	-52.67600702	0	0
CCNJ	822.4910631	-1.744417263	0.024338006	-71.67461596	0	0
CCDC109B	1069.460757	-2.300448361	0.042124382	-54.61085148	0	0
CIDEC	1297.972324	0.81036294	0.020197739	40.12146892	0	0
DCBLD1	479.9299185	-1.456691846	0.036583592	-39.81817402	0	0
BCL2L13	1716.095713	-1.073250831	0.026024486	-41.24003905	0	0
ATF5	14249.31391	-2.254677387	0.050310737	-44.81503413	0	0
ATF3	20002.1001	-2.981481574	0.052122528	-57.20139952	0	0
ANKIB1	2165.179572	-1.479203454	0.019404459	-76.23008007	0	0
PPP2R4	3302.593666	-0.85128875	0.021574855	-39.45744924	0	0
PDHX	438.4979607	0.794279836	0.018565626	42.78228136	0	0
STK3	868.38472	-1.363237857	0.029596962	-46.06006109	0	0
CXCL11	39262.80216	-8.029957801	0.11600219	-69.22246727	0	0
UBE4A	1296.011322	0.651884369	0.013909148	46.86731086	0	0
TBC1D20	645.1983954	0.518821444	0.01380736	37.57571746	0	0
SLC2A12	67.97669694	-3.915901206	0.075248023	-52.03992154	0	0
WDFY1	3080.821472	-1.334624614	0.02267777	-58.85166915	0	0
SNIP1	588.3880166	-0.825947953	0.017784263	-46.44262962	0	0
NCOA2	1990.462428	-1.416312323	0.035081954	-40.37153446	0	0
NCOA7	5621.202186	-2.406538175	0.044447839	-54.14297417	0	0
TMEM19	1772.037547	-1.365195308	0.029874795	-45.69722717	0	0
NT5C3A	9467.991746	-4.944034769	0.030908898	-159.9550644	0	0
PLSCR4	64.69725043	-3.644124737	0.085995693	-42.37566573	0	0
HERPUD2	1573.266283	-0.719776251	0.018717543	-38.45463339	0	0
APOBEC3F	114.0015984	-2.803721568	0.042439485	-66.06398694	0	0
MGC2752	299.9026374	0.913451393	0.019305538	47.31551028	0	0
ENDOD1	952.4773089	-2.449579474	0.051059357	-47.97513358	0	0
FRYL	2237.919188	-0.703987209	0.018615467	-37.81732692	0	0
C21orf91	2914.272315	-1.900568584	0.045208286	-42.04027102	0	0
PSMB10	2006.903459	-1.506480249	0.022102811	-68.15785807	0	0
IFI16	15109.72771	-1.4452036	0.026829352	-53.86651176	0	0
ARMCX5	147.633663	0.940948148	0.023144884	40.65469323	0	0
HAPLN3	1119.192286	-2.31668928	0.057851788	-40.04524924	0	0
RERE	3115.867855	-1.137302652	0.028302949	-40.18318499	0	0
ARHGAP15	709.9091797	-1.309217479	0.034684923	-37.74601115	0	0
ATP10A	1699.611666	-4.757742623	0.053747248	-88.520674	0	0
PRKCE	230.219544	-3.418175224	0.056094703	-60.93579338	0	0
STK40	3464.945431	-0.958460271	0.020367461	-47.0584074	0	0
UBA7	3856.225667	-2.171139829	0.029577151	-73.40598179	0	0
PHF20	542.7087793	0.929360131	0.022802552	40.75684747	0	0
UBE2M	398.166276	0.91976991	0.022510781	40.85908423	0	0
UBE2S	1222.366484	-1.756088197	0.034532794	-50.85276867	0	0
NDUFA9	1790.748638	-1.149259138	0.02482952	-46.28599836	0	0
TBL1XR1	1202.309931	1.233817243	0.030436223	40.53779099	0	0
IL7	141.1786169	-1.588320295	0.040221538	-39.48929771	0	0
SAT1	18074.71162	-1.496736522	0.03532046	-42.37590687	0	0
SAT2	957.1883414	-0.906837545	0.021075794	-43.02744419	0	0
SP100	5217.291215	-1.820629107	0.017456622	-104.2944669	0	0
PI4K2B	4565.722769	-3.237776437	0.022893091	-141.4302843	0	0
XLOC_006058	38.92046361	-4.152623798	0.088244304	-47.0582645	0	0
XLOC_006055	142.9037398	-5.192010988	0.077585116	-66.92019376	0	0
LYN	14167.35997	-1.499682947	0.02971037	-50.47675107	0	0
TLR3	1098.969478	-4.509173404	0.055781172	-80.83683476	0	0
NUP205	2157.380218	-0.884069246	0.019223066	-45.99002283	0	0
HLA-F	1282.95108	-1.57197089	0.039770431	-39.52612202	0	0
KIAA1109	3270.092686	-1.237304723	0.024645053	-50.20499268	0	0
IPO7	2758.582672	0.925032767	0.021653065	42.72063968	0	0
DTX3L	11631.86129	-2.107525925	0.020934375	-100.6729821	0	0
SMCHD1	5223.914011	-2.321106611	0.033789495	-68.6931428	0	0
OR52K2	130.3371273	-4.630344609	0.081154861	-57.05566571	0	0
DENND1B	8726.041432	-1.67524125	0.031863869	-52.57494856	0	0
LMBR1	1017.359859	-1.105572291	0.024836178	-44.51459129	0	0
RAB8B	6486.548642	-1.046799766	0.024832204	-42.15492766	0	0
SYVN1	757.4662497	0.800587231	0.01833672	43.66032983	0	0
DDX60	8817.798131	-3.912256348	0.031824133	-122.9336359	0	0
ARV1	215.1879323	2.18363018	0.033013517	66.14351858	0	0
BST2	4892.287826	-1.360979517	0.027828363	-48.90620174	0	0
PAQR8	1374.45192	-2.019009285	0.045622203	-44.25497147	0	0
C5orf22	937.5099286	-0.712065485	0.016339216	-43.58014881	0	0
CMPK2	12823.41212	-4.9602017	0.049992771	-99.21837885	0	0
USP15	4701.747653	-1.176677596	0.015452269	-76.14917825	0	0
TAP1	17788.35161	-2.427962458	0.022543083	-107.7032104	0	0
UBAC1	621.4177783	1.176817019	0.031128717	37.80486763	0	0
SOS1	3489.39844	-1.152698235	0.029515916	-39.05344571	0	0
LOC100130370	98.10927665	-2.90059284	0.072904845	-39.78600923	0	0
ARHGEF19	256.4449444	-5.194122917	0.0604967	-85.85795463	0	0
BAZ2A	6672.747216	-0.829322097	0.01953281	-42.45789981	0	0
RET	368.6302004	-5.745619477	0.076755281	-74.85634052	0	0
CR1L	86.55001667	-3.1037283	0.081794477	-37.94545097	0	0
PGP	268.092309	1.243775069	0.032835894	37.8785203	0	0
NDUFC1	555.7623384	-0.91852879	0.023475496	-39.12712959	0	0
COA4	247.676327	1.02643478	0.027196693	37.74116191	0	0
DYNLT1	3822.571892	-2.772300816	0.024487844	-113.2113067	0	0
PARP9	10298.33543	-2.470795546	0.019968171	-123.7366984	0	0
MT1A	1980.430404	-6.149883651	0.060781963	-101.1794182	0	0
ZNF181	108.610116	0.689237525	0.012928708	53.31062519	0	0
GBP1P1	927.5006651	-5.65002358	0.068454803	-82.53655485	0	0
GLRX	5620.825025	-1.848616291	0.036820238	-50.20652795	0	0
CHST12	593.1683975	-2.685812287	0.037736482	-71.17283141	0	0
PLEKHO1	5632.274171	-1.434784613	0.030570407	-46.93377483	0	0
VRK2	1894.905481	-1.114707696	0.019367421	-57.55581489	0	0
LRRC3	556.7369282	-1.204880145	0.031443786	-38.3185456	0	0
USP33	2442.305132	-0.954816239	0.015374664	-62.10322521	0	0
DOCK8	10216.26796	-1.77225366	0.02670923	-66.35360315	0	0
UBAP2L	4597.765935	1.002873783	0.022225261	45.12315057	0	0
SUPT7L	591.4009628	0.645244655	0.015759466	40.94330658	0	0
JUP	5397.936745	-2.663836321	0.053857025	-49.46126053	0	0
XLOC_005868	81.35347143	-3.973137509	0.085661013	-46.38209822	0	0
REV1	343.307351	0.95783823	0.021903592	43.72973219	0	0
GIMAP2	1372.459873	-1.986251301	0.037541408	-52.90827968	0	0
RHBDF2	1305.578163	-2.128406916	0.047683748	-44.63589773	0	0
FBXO6	1590.722238	-1.370115392	0.026136887	-52.42075578	0	0
FBXO7	4761.346651	-1.090327936	0.013228579	-82.422151	0	0
QSER1	2290.097484	-1.285521227	0.022278743	-57.70169426	0	0
RUSC1	538.5407373	-0.859098753	0.021384772	-40.17338761	0	0
WASF2	5930.412494	-0.578271395	0.014228138	-40.64280149	0	0
FAS	1047.891831	-1.855548499	0.040618536	-45.68230895	0	0
THEMIS2	4685.767178	-1.98124862	0.040064059	-49.45201956	0	0
XLOC_000436	90.99667634	-2.445060905	0.052992884	-46.13941935	0	0
GSK3A	852.0229081	0.547288819	0.013782269	39.70963014	0	0
WDR26	2369.235312	0.651325237	0.015049633	43.27847888	0	0
XLOC_005404	426.7136942	-6.917464993	0.146678568	-47.16070717	0	0
EPHA7	111.2362232	-5.781985587	0.118654977	-48.72939778	0	0
VAMP5	1917.53679	-1.185916067	0.026332533	-45.036156	0	0
ARL1	563.591338	0.794783676	0.020740147	38.32102507	0	0
TMX1	3232.564589	-0.774636662	0.020029431	-38.67492108	0	0
NAGK	5486.227279	-1.469643699	0.03191946	-46.04224796	0	0
AGPHD1	856.4709331	-1.559253422	0.025994382	-59.98424676	0	0
PVRL3	236.5149048	-3.913639396	0.078583141	-49.8025323	0	0
L2HGDH	337.2932133	-1.729088865	0.037830888	-45.70574371	0	0
LMO2	2289.164919	-1.557579623	0.032287848	-48.240428	0	0
TNFSF10	22849.91174	-5.763351954	0.104302881	-55.25592279	0	0
XLOC_008886	343.3333039	-4.752633194	0.086035076	-55.24064632	0	0
ZC3H8	83.92892714	2.49422815	0.06502088	38.360418	0	0
WDPCP	70.51771188	1.197748141	0.028522617	41.9929261	0	0
XIAP	1963.120753	-0.824349625	0.016155892	-51.02470561	0	0
NEXN	1028.198049	-6.545949178	0.077449816	-84.51858928	0	0
SSTR2	274.4623109	-3.602362575	0.090052945	-40.00271823	0	0
MOB1A	11636.32985	-0.579126429	0.015328496	-37.78103329	0	0
MYOF	13027.52146	-2.778632501	0.061426398	-45.23515255	0	0
APOL3	4528.757208	-3.561039028	0.077950364	-45.68341761	0	0
APOL1	5113.640122	-2.926021807	0.03356401	-87.1773617	0	0
RNMT	986.3129194	0.724835033	0.019128979	37.89198693	0	0
RPP14	364.4417192	0.880593488	0.01861263	47.31161062	0	0
STOM	9307.087087	-1.974178383	0.029318076	-67.33656056	0	0
PHKG2	282.3617469	1.053565587	0.024956587	42.2159326	0	0
PIWIL4	2672.287936	-1.868105677	0.040323256	-46.32824443	0	0
MED25	2232.200159	-1.052284936	0.0191892	-54.83735453	0	0
LOC388692	300.239947	-1.808815969	0.046002034	-39.32034759	0	0
CXorf38	1302.44564	-1.083671254	0.02743324	-39.50212466	0	0
PSME2	5724.561781	-1.631371925	0.02491769	-65.47043259	0	0
PSME1	4358.903743	-1.02496482	0.024753054	-41.40761096	0	0
MTFR1L	398.5651297	0.820458535	0.014427223	56.86877619	0	0
TNFSF13B	10223.49484	-2.948651936	0.031653351	-93.15449584	0	0
NLRC5	3266.068188	-2.617088187	0.028109143	-93.10451752	0	0
TGM1	161.809833	-5.400322841	0.069955998	-77.19599412	0	0
ATP6V1H	3216.600767	-1.226590645	0.026230103	-46.76270701	0	0
GMPR	1935.247636	-5.945032276	0.052025417	-114.2716899	0	0
EXOC3L1	124.166558	-6.63786328	0.10287737	-64.52209319	0	0
MAML2	3243.310671	-2.023216199	0.025266172	-80.07608862	0	0
HERC5	26562.01212	-5.518503675	0.060979078	-90.4983135	0	0
HERC6	4912.575433	-4.387234733	0.04246811	-103.3065701	0	0
SLC8A1	1702.80896	-2.282884608	0.054690998	-41.74150579	0	0
BCL7A	223.2943898	2.065031518	0.05315272	38.85090965	0	0
ZNF860	41.98090613	-2.957767321	0.067510082	-43.81223096	0	0
TOM1L2	181.8358097	1.387210627	0.031724469	43.72683478	0	0
CASP10	2164.786356	-1.892024118	0.031702795	-59.68004075	0	0
AFG3L2	1317.969073	0.698307275	0.018009744	38.77385927	0	0
BX538254	57.10772762	-1.871894714	0.047325789	-39.55337613	0	0
MYCBP2	6169.036937	-1.554367563	0.022478353	-69.1495311	0	0
HK2	5716.550439	-2.525178155	0.048915024	-51.62377404	0	0
IFI44	682.9762333	-2.971328812	0.049195686	-60.39815771	0	0
XRN1	8785.792578	-3.047795683	0.020571358	-148.1572417	0	0
SAMD9	30115.62374	-3.673061025	0.037394495	-98.22464525	0	0
