	Repeatability	Repeatability SE	Repeatability r^2	Fixed r^2	Fixed r^2 SE	SNP r^2	SNP r^2 SE	cis Heritability	cis Heritability SE
NKG7	0.76725415	0.03749561	0.833197981	0.081737993	0.00275477	0.081664281	0.004061476	-0.078353	0.048469
MX1	0.765466907	0.042958756	0.691657697	0.032283026	0.002852592	0.19801882	0.00264332	0.239095	0.134948
IL17A	0.765045507	0.024281522	0.437897898	0.023440834	0.001109695	0.018498869	0.000738082	-0.078261	0.028968
IL10	0.763716553	0.041527698	0.264286111	0.006434267	0.003567867	0.002761953	0.00025364	-0.042828	0.035718
TBX21	0.758499916	0.034416011	0.583605671	0.085670498	0.002259463	0.002817504	0.000251114	0.070447	0.073274
SOCS3	0.756503735	0.069535055	0.502933139	0.08336952	0.001089441	0.023984479	0.000568124	0.011161	0.102493
RORA	0.756483129	0.052988754	0.663193367	0.139313272	0.004536656	0.030344641	0.000613584	0.139146	0.109831
IL7R	0.754871506	0.037354365	0.847050887	0.126123671	0.005495241	0.071161554	0.001959869	0.090392	0.0887
OAS2	0.750869795	0.03291516	0.397440838	0.062534156	0.004003021	0.01991169	0.000620334	0.20396	0.103427
FLJ45825	0.742210535	0.048709769	0.712721113	-0.012973267	0.000623114	0.354160115	0.00183922	0.420993	0.114354
TAS2R43	0.734077471	0.037918095	0.500512163	-0.011705577	0.000731114	0.146623466	0.001088757	0.162435	0.104187
CCNA2	0.730527431	0.042993933	0.541519463	-0.005924748	0.003173289	0.006369711	0.00042926	-0.02297	0.046918
TNFRSF9	0.726251132	0.038294102	0.283652289	0.00687055	0.00088915	0.033521061	0.000265541	0.200008	0.107394
AHR	0.723205605	0.070670276	0.260633389	0.058842889	0.002334366	0.040168819	0.001598595	0.003774	0.076731
CCL2	0.716816935	0.048228442	0.036931471	0.037962595	0.004258725	0.007804014	0.000237386	0.073596	0.104803
HLA.DQA1	0.711822814	0.035294243	0.10443008	-0.028251459	0.001454903	0.247222681	0.001327522	0.249314	0.106556
IL18RAP	0.710549022	0.037225659	0.638256778	0.123052638	0.0060651	0.018610435	0.000811969	0.109454	0.083068
BCL6	0.700444437	0.043993038	0.436917858	0.04050085	0.00155368	0.011431698	0.000200718	0.140356	0.115634
IFI44	0.697647888	0.062466237	0.729837959	-0.006025301	0.00333292	0.000711009	0.000202241	-0.067257	0.002322
IFITM3	0.696128541	0.043661029	0.410357793	-0.017291312	0.001957966	0.441634279	0.00236739	0.61747	0.087498
EGR3	0.694932383	0.046461816	0.069965608	0.162272156	0.003262985	0.00755163	0.000334271	0.014639	0.082709
OCLN	0.694430376	0.043179526	0.528496727	0.027053479	0.001419978	0.010925469	0.000344719	0.010569	0.044387
GZMB	0.688530838	0.07358742	0.514667322	0.051837556	0.001221577	0.033159347	0.001552098	0.18228	0.107783
HLA.DQB1	0.685930119	0.064467788	0.417115685	0.014288788	0.001002057	0.376808623	0.002090245	0.49335	0.106498
GCNT1	0.681896492	0.043592188	0.306352053	0.029205169	0.001687054	0.031304398	0.000393506	-0.02286	0.084626
XCL1	0.67995817	0.05263514	0.547240268	0.093115153	0.006508112	0.037706229	0.00134638	-0.034331	0.057817
JUN	0.67992919	0.041328547	0.382406015	0.1197332	0.003971647	9.13E-09	4.37E-06	-0.060214	0.054567
IRF4	0.67772342	0.040593416	0.167945585	0.093167942	0.001196102	0.004311819	0.00020443	-0.092734	0.043105
MX2	0.670046829	0.063114039	0.556046616	0.029342184	0.00318311	0.052446387	0.001404244	0.072182	0.117055
PLEK	0.6656487	0.058665587	0.37601287	0.115546442	0.001872742	0.065429187	0.001125446	0.089621	0.095061
LTA	0.664309975	0.053154051	0.269409915	0.028817165	0.001566735	0.016412098	0.000420949	0.026431	0.058279
UTS2	0.659526329	0.044823179	0.468826591	0.014908573	0.000759669	0.172565097	0.001709612	0.118703	0.09533
IFIT1	0.659449027	0.039541284	0.228591893	0.117805433	0.003188108	0.001978877	0.000107115	-0.009617	0.065232
IFIT5	0.657229341	0.043131728	0.240889269	0.046712953	0.002992937	0.00712598	0.000430523	0.096643	0.090646
DHX58	0.653803844	0.058890297	0.012218948	0.026609237	0.002384235	0.209787342	0.001367181	0.084542	0.072884
EEF1G	0.649723587	0.071241473	0.350085781	-0.009927471	0.002218513	0.000770155	0.000127038	0.079572	0.079858
TNFSF10	0.644537567	0.039729406	0.13665374	0.08816627	0.001650708	0.040480062	0.001688536	-0.024992	0.06788
FHIT	0.643498967	0.047634641	0.364445623	-0.000715094	0.001149833	0.000126368	3.37E-05	0.043876	0.117898
ZBP1	0.637800553	0.036180579	0.372497113	0.072017895	0.00228996	0.021856765	0.000489284	0.111862	0.122314
CD40LG	0.637586608	0.076150101	0.814610538	0.063784988	0.001936566	0.000755296	0.000177951	#N/A	#N/A
KLRK1	0.635766369	0.094121212	0.492190385	-0.016303068	0.001134385	0.025289926	0.00072126	0.10521	0.086909
NCAPG	0.632186764	0.052863811	0.284852066	-0.005670155	0.00069844	0.022739356	0.000573536	0.013552	0.06396
TNFSF14	0.62901255	0.040874747	0.705173092	0.034130677	0.001703712	0.02935058	0.000484418	0.028333	0.09446
HLA.DRA	0.622594316	0.106199104	0.424607899	0.031923132	0.000890079	0.012014271	0.000333488	-0.052279	0.013573
IFI6	0.621191121	0.063514739	0.20999558	0.040967355	0.001347356	0.000749235	0.000114178	-0.047694	0.010315
TIAM2	0.614212068	0.085110377	0.398606608	0.01319006	0.00122458	0.059471456	0.000991069	0.225372	0.122704
IL23R	0.612174423	0.065830114	0.368233212	0.001981495	0.001339146	0.052107612	0.001256781	0.214289	0.109499
OAS3	0.608948639	0.049585591	0.379001657	0.024081508	0.002461965	0.072882434	0.000795301	0.155376	0.096975
MIR142	0.601981134	0.081961124	0.827504955	0.019689553	0.001513136	0.018728731	0.00161227	-0.039891	0.025282
TXN	0.601975502	0.050695307	0.481030747	0.066973893	0.001151251	0.045299362	0.000598327	-0.036547	0.070605
PRKD2	0.601916982	0.092308326	0.224191134	0.045379584	0.002968575	0.021766309	0.001021988	-0.100186	0.03401
IL21	0.599808891	0.048942655	0.308768843	0.034763683	0.001307548	0.001682453	7.80E-05	-0.039777	0.025554
PIK3IP1	0.596742865	0.097673486	0.228571766	0.197288809	0.001826245	0.009220685	0.001431913	0.057312	0.069797
ICOS	0.594203193	0.072908754	0.059483105	0.139566288	0.002071583	0.015599848	0.000374466	-0.057936	0.027207
IL1A	0.583046551	0.10457369	0.134862074	0.025111934	0.002383262	0.023585338	0.000584627	-0.011841	0.042019
FOS	0.581529317	0.051419579	0.306240692	0.142139526	0.003546397	0.001511725	0.000333415	-0.006515	0.051118
NR4A2	0.581198792	0.069053042	0.215083534	0.223389986	0.003614864	0.02892806	0.000633802	0.002918	0.055813
DDX58	0.575174391	0.058652648	0.212289602	0.102855611	0.003039467	0.014145289	0.000519003	0.193907	0.102654
CXCL9	0.571511913	0.089133209	0.50820458	-0.009240036	0.000886707	0.003577152	0.000189138	0.036872	0.07265
UHRF1	0.570218608	0.06472244	0.075787046	0.000235638	0.001349502	8.31E-05	1.35E-05	-0.052975	0.07215
ELOVL6	0.567485895	0.057946715	0.049935893	-0.020099681	0.00044502	0.005174494	8.31E-05	-0.06921	0.025596
C4orf21	0.560917805	0.084951171	0.078325812	-0.009358182	0.002192573	0.001147169	0.000141717	-0.088061	0.00376
NAPSA	0.559381814	0.050637124	0.168372494	0.018865961	0.000933651	0.000175246	4.51E-05	-0.073718	0.070548
IL1RN	0.557695301	0.068256845	0.107274334	0.057355925	0.003779707	0.002767673	0.000180223	-0.057755	0.002941
LIF	0.555729155	0.140494567	0.224599705	0.091270948	0.00084914	0.023345389	0.000403339	-0.049002	0.018473
ESCO2	0.554667495	0.05748898	0.25325182	0.00351651	0.000954565	0.004113614	0.000190484	-0.054669	0.046606
PBK	0.553524375	0.060376688	0.200903553	0.026430634	0.001000669	0.000602411	0.00010682	-0.073942	0.034175
TGFB1	0.553335585	0.06667116	0.408158217	0.164629649	0.002046935	0.026503697	0.000666676	0.11047	0.089038
FANCB	0.552786418	0.062032906	0.253308866	0.026983224	0.001667362	0.00470336	0.00010283	#N/A	#N/A
FLT1	0.549751097	0.084501991	0.221127578	0.180500138	0.003045642	0.01613209	0.000475243	-0.077218	0.064369
IRF7	0.544647851	0.054483676	0.309560406	0.084258721	0.003182892	0.076075653	0.0012902	0.158096	0.095641
TIMP1	0.535249397	0.062942186	0.150403322	0.108470318	0.002021591	0.044873419	0.001080445	#N/A	#N/A
RPS26P11	0.531421904	0.062700713	0.1516831	0.01691925	0.001058101	0.004177404	0.000165445	#N/A	#N/A
CCL22	0.530995254	0.060785906	0.197127644	0.019424642	0.001530628	0.003488305	0.000130397	0.065038	0.0974
NUF2	0.529887142	0.092366311	0.294054331	-0.012980547	0.002012407	0.004265341	0.000172252	-0.016439	0.070968
CTLA4	0.527282269	0.108241953	0.199178162	0.021981442	0.001494951	0.003968723	0.000191025	-0.018154	0.046245
DDX60L	0.519116731	0.085343123	0.052689629	0.090041446	0.006024138	0.018706744	0.000970621	-0.000116	0.071795
EIF2AK2	0.516286529	0.07074983	0.167898105	0.022794383	0.001947901	0.020916541	0.000735137	0.025348	0.082066
MYD88	0.512305046	0.056689636	0.273401012	0.047634971	0.003055721	0.012178397	0.000312388	0.107987	0.087605
PNPT1	0.508696023	0.044010357	0.17349137	0.011690945	0.004343652	0.06177271	0.001512683	-0.018267	0.051263
IL1B	0.5068825	0.080976401	0.196929498	0.004953652	0.002926701	0.042458526	0.000769913	0.004799	0.050656
SCARNA4	0.506720072	0.075770007	0.119596268	0.133954137	0.002454339	0.012452433	0.00045877	0.053196	0.06713
KYNU	0.506519885	0.080622722	0.189383738	0.024340048	0.00400391	0.012696201	0.000608008	-0.058613	0.039083
MIR24.2	0.506274676	0.084321313	0.474592128	-0.008908476	0.001760863	0.002045636	6.18E-05	0.021734	0.085973
BNIP3	0.504976065	0.059397633	0.011248368	0.103034291	0.000558199	0.00827263	0.000294069	0.128462	0.113559
FTSJD2	0.504254072	0.083955878	0.036627679	0.005710073	0.000923137	0.012078065	0.000649577	-0.003353	0.070769
DDX60	0.503845762	0.067982229	0.071172027	0.002211504	0.003269393	0.026429521	0.000736156	-0.004813	0.070672
IRF1	0.496940975	0.070794684	0.235307304	0.122715274	0.00427044	0.000370265	7.44E-05	0.017659	0.052971
DSCC1	0.485391942	0.092070116	0.037209663	0.036083355	0.001150294	0.00726549	0.000388256	0.058774	0.075758
TBP	0.482859673	0.075537275	0.243772252	0.027238547	0.001268375	0.027865175	0.000756085	-0.051893	0.002728
THBS1	0.475019491	0.071682653	0.565555304	0.065906381	0.004273524	0.019906407	0.000669617	0.130739	0.102461
BST2	0.474258764	0.118212686	4.96E-05	0.004255805	0.004474507	0.102405049	0.000701584	-0.069779	0.051774
PLA2G4A	0.46327108	0.069250369	0.12978463	0.000212325	0.000945055	0.003440589	0.000286246	0.150328	0.093603
GSTM1	0.459579591	0.080034365	0.06894863	-0.017206609	0.0012003	0.105693865	0.000604291	0.324077	0.116673
PRIC285	0.457238706	0.064919013	0.317837513	0.071756644	0.002264974	0.008735502	0.000346289	-0.001623	0.079426
IFI44L	0.457016941	0.094134046	0.112604996	-0.016354498	0.001252494	0.004129828	0.000432435	-0.031804	0.033337
LAMP3	0.454666611	0.134163962	0.001446729	-0.006006484	0.000909607	0.004190989	0.000195016	0.086563	0.082729
ALDH7A1	0.447587895	0.075326967	0.104711488	0.013535644	0.001126068	0.020734124	0.000413447	-0.003675	0.058366
PLK4	0.444955715	0.133159684	0.138310987	0.019491507	0.00073613	0.002009925	0.000160216	-0.038995	0.003674
NMI	0.444121705	0.082562507	0.169759764	-0.031978637	0.001765503	0.021307678	0.001113523	0.103104	0.084055
STAT2	0.443783367	0.082871771	0.078335433	0.025307845	0.003843042	0.033523172	0.000439064	-0.004333	0.046749
IFIT3	0.442838442	0.048572069	0.00351152	0.023786935	0.001403779	0.003831457	0.000203436	0.101668	0.090819
LYN	0.439188979	0.08771174	0.066049299	-0.013383218	0.000460617	0.006501083	0.000131055	-0.010948	0.057386
TRGV3	0.434634108	0.181582274	0.178217589	0.005099689	0.002381754	0.12218743	0.002404349	0.239172	0.109962
RSAD2	0.424440747	0.088008208	0.001314659	-0.005198035	0.001987885	0.031763621	0.000782053	0.020919	0.088802
MALT1	0.42355238	0.077318497	0.174853155	0.028955595	0.00140676	0.005614679	0.000134776	0.138208	0.111327
SLC27A2	0.416665298	0.148899823	0.009402232	0.044915701	0.000990338	0.117834868	0.003475943	0.168831	0.091667
MXRA7	0.410849467	0.076209954	0.336178878	0.019200066	0.004873004	0.131375672	0.001635299	0.154708	0.112542
TMEM45B	0.402916286	0.056446606	0.037878663	-0.002243418	0.00111714	0.000620624	3.99E-05	-0.128642	0.006534
CCDC144A	0.402001032	0.105702664	0.089571162	-0.002694554	0.000356015	0.008530996	0.00036542	0.015333	0.059435
GZMK	0.393900063	0.175706385	0.053237884	0.102442114	0.002205632	0.003783923	0.000375926	-0.040036	0.030428
UGT2B7	0.390970515	0.123969497	0.081673086	0.055931546	0.00163271	0.001912126	0.000162786	-0.049795	0.010056
IKZF2	0.380501165	0.052341839	0.483444078	-0.013178062	0.001132783	0.026319653	0.000523103	0.086914	0.08392
SAMD3	0.376139211	0.143709674	0.243040272	0.017162289	0.001275399	0.111210268	0.003025084	0.154605	0.10384
IRF9	0.372856137	0.15122876	0.009759511	0.011952692	0.00391776	0.001066213	0.000132877	0.142815	0.107576
CYBB	0.37074814	0.13912498	0.031854573	0.033370566	0.002932795	0.017622497	0.000462456	#N/A	#N/A
AQP3	0.368482795	0.089892009	0.397430896	0.121114023	0.003934027	0.046013054	0.001536164	0.187067	0.098137
IL6	0.364834843	0.152599695	0.162371865	0.012781055	0.00349132	0.000116753	4.88E-05	-0.012249	0.069761
PHGDH	0.35463093	0.185170373	0.064616476	-0.014146163	0.001091533	0.025593269	0.000452609	-0.052527	0.020319
HRH4	0.349074013	0.181343595	0.016861452	0.02145826	0.001576213	0.001755301	9.38E-05	-0.012494	0.05732
RHOU	0.344298819	0.105442929	0.127948964	0.004619885	0.002800906	0.011870358	0.000832824	-0.062569	0.012167
ZNF138	0.33941504	0.118102627	0.048643266	0.047468782	0.002179158	0.011579872	0.000950774	#N/A	#N/A
CD9	0.33921662	0.108926364	0.114984578	0.010642248	0.001125314	0.005432719	0.000350241	0.044353	0.096375
LYZ	0.329373883	0.27707276	0.164132095	-0.015895626	0.001496819	0.000466324	3.35E-05	-0.056467	0.045898
CD80	0.325574208	0.094800507	0.147927561	0.027891769	0.001903789	0.001114543	0.000298448	0.027395	0.066992
OAS1	0.325238014	0.16494221	0.266297343	-0.003320199	0.000846798	0.041305342	0.000152458	0.084372	0.083323
ITGA2	0.322730289	0.075362161	0.072369544	0.044435933	0.001013043	0.057622315	0.002282639	0.016807	0.067206
IL12RB2	0.310492162	0.119346685	0.00950616	0.036681687	0.000899561	0.042315003	0.000445948	0.084533	0.092032
CDK4	0.308635402	0.195709345	0.000155182	0.080617153	0.00429581	0.002417471	0.000201241	-0.030159	0.016745
CXCL11	0.308174784	0.105440859	0.06275759	0.026655369	0.002259366	0.000981123	0.00016355	0.035404	0.072153
SOCS1	0.303982691	0.085319685	0.070107674	0.060712922	0.005831899	0.00728651	0.00088831	-0.101746	0.00126
ROCK1P1	0.303323911	0.157623912	0.105084017	0.00499063	0.001214966	0.000174888	4.31E-05	-0.105689	0.00208
ENTPD1	0.302825169	0.152737297	0.017907731	-0.008976019	0.000458673	0.000523442	9.79E-05	-0.00837	0.053261
COL6A3	0.285073943	0.187877662	0.06354834	0.017864384	0.004082077	0.003196995	0.000211807	0.180926	0.108714
NHEDC1	0.278721665	0.125894079	0.023871454	0.031399433	0.001727005	0.005147929	0.000415054	0.063641	0.070589
KLF3	0.2762348	0.11064753	0.033736074	0.042724954	0.006659447	0.000577186	0.000113228	-0.033869	0.059247
GPR109A	0.276181909	0.083747873	0.036312593	0.005676416	0.002890061	0.038908506	0.001326549	-0.042656	0.019265
ASPM	0.274955103	0.122672335	0.115479574	0.022290465	0.002536155	0.002034624	9.05E-05	0.131736	0.085293
IL2RB	0.267174867	0.154396929	0.053367556	0.145857883	0.001127703	0.012694793	0.000277847	0.068646	0.101652
FLJ36840	0.26535349	0.13476037	0.052502244	-0.002636274	0.000948897	0.002156855	0.000387637	-0.031574	0.028268
SAMD9	0.263147188	0.110940653	0.107948626	-0.016293502	0.0017672	0.023252281	0.000292961	0.018116	0.065807
IL1R1	0.257716271	0.128541643	0.221288609	0.013688317	0.001438511	0.023511597	0.000424901	0.168987	0.095152
AIF1	0.253128851	0.136772376	0.0724802	-0.013125722	0.000968707	0.017352738	0.000853756	0.183381	0.09838
FOXP3	0.251442471	0.141409034	0.039063918	-0.017158018	0.001564558	0.036160941	0.000817934	#N/A	#N/A
NLRP2	0.249250027	0.106757715	0.076526242	0.035528046	0.002444545	0.025306091	0.001325288	0.18093	0.129981
SRD5A3	0.242732308	0.068983842	0.093025768	0.010457302	0.003692962	0.041194093	0.000891108	0.046612	0.086461
PPARG	0.231572829	0.0926108	0.003492023	0.014875334	0.000581884	0.041130087	0.000219931	0.090031	0.089913
LY6E	0.228184335	0.093508592	0.014000374	0.003594454	0.001733882	0.004981457	0.000243037	-0.064523	0.010766
IL24	0.224015068	0.137896565	0.005605602	-0.006523811	0.001317171	0.02504746	0.000698635	0.137819	0.091693
JHDM1D	0.22000704	0.157554775	0.139007323	-0.005870574	0.000758421	0.013675305	0.000670336	-0.063178	0.029611
IFI35	0.218308518	0.140887844	0.013150784	0.030673284	0.002982727	0.013617642	0.000213678	0.003175	0.040992
PHEX	0.214824617	0.142392971	0.031462484	-0.028302339	0.000408932	0.058061078	0.001811847	#N/A	#N/A
FCER2	0.214016791	0.176583893	0.008996089	-0.002246801	0.001509483	0.002775984	0.000236133	-0.064392	0.076859
PPP4R4	0.206885913	0.178323464	0.022250643	0.10313751	0.002446424	0.051664372	0.001547145	0.229459	0.123873
CETN3	0.203146291	0.123526047	0.460055208	-0.027099599	0.001062907	0.006630311	0.000223686	0.058761	0.074098
CXCL10	0.200784154	0.076084442	0.011430345	0.02617045	0.00156167	1.99E-05	3.16E-05	-0.008251	0.058748
DRAM1	0.188644697	0.114122093	0.004737652	0.021601456	0.002172721	0.006050459	0.000288038	-0.070013	0.036394
ICAM1	0.188506008	0.045981454	0.051480983	0.046908661	0.001207221	2.93E-05	9.10E-06	-0.05712	0.01706
MAPK8IP1	0.186910418	0.089930692	0.046235874	0.007725736	0.002378171	0.011278159	0.000513956	-0.103962	0.000128
FCER1G	0.185072249	0.133894426	2.05E-09	0.02236211	0.002703001	0.031788244	0.000985046	-0.058405	0.043883
NPCDR1	0.182282677	0.179691503	0.010598622	-0.002230541	0.001472771	0.098016143	0.000638128	-0.025999	0.082736
TRIM5	0.180813271	0.107345743	0.011457596	0.013392837	0.001410404	0.051621502	0.001242911	-0.106127	0.021007
OR2L8	0.17799388	0.1304919	0.070161617	-0.000286991	0.001907134	0.000504334	0.000168627	-0.046244	0.037254
ANXA4	0.174022313	0.143298276	0.022507602	-0.01345276	0.001318462	0.007901818	0.000282579	0.022303	0.069797
CD19	0.15721666	0.193758346	0.063676557	0.007278423	0.001119339	0.002755051	0.000166262	-0.037677	0.00001
OLR1	0.15683083	0.145161195	0.003219115	-0.000704112	0.001008365	0.018217936	0.000422892	0.121987	0.092242
IFITM1	0.151793007	0.092619122	0.048904935	0.009025711	0.002864843	0.007532065	0.000330858	-0.03046	0.042456
MOP.1	0.145747622	0.144349609	0.007996014	0.008313645	0.003260147	0.004247902	0.00037771	0.074453	0.078779
PRG4	0.134951278	0.111379575	8.23E-07	-0.006081599	0.001105171	0.023650452	0.000774422	0.031658	0.061541
ISG15	0.109963566	0.101005072	0.018130819	0.078371483	0.002642171	0.062871666	0.000920344	0.046377	0.065447
ITGAX	0.103637874	0.074984357	0.005199404	-0.008448751	0.001426899	0.052775433	0.00117044	-0.003639	0.030391
CD69	0.096243517	0.137707309	0.05686014	0.058912523	0.006033795	0.018543473	0.000470699	-0.039007	0.052227
CDK1	0.08988211	0.121451079	0.24060356	0.011606068	0.000871262	4.99E-05	1.93E-05	0.012887	0.060635
GATA3	0.08291677	0.070453019	0.015165327	0.046348075	0.005800464	0.006903156	0.000531777	-0.003847	0.091405
AOAH	0.07729898	0.15913134	0.135837905	0.038867053	0.00201328	0.080432291	0.000872568	0.225155	0.113787
CENPH	0.057515591	0.142353794	0.003082695	-0.017088049	0.001896043	0.021246945	0.001035051	-0.069812	0.00017
IRF8	0.054599664	0.163798991	0.129443816	0.079420407	0.004492954	0.023204649	0.000617447	0.161927	0.134703
FADS2	0.047437227	0.04818665	0.056864299	0.029393929	0.004222742	0.035386187	0.001288218	0.035377	0.072814
HDGFRP3	0.04511221	0.104189108	0.00027264	-0.017342163	0.002382487	0.039938832	0.000560467	0.044379	0.06061
CLDN1	0.038909175	0.11135839	0.035370191	0.036432635	0.001704966	0.007192608	0.000315022	0.053913	0.095927
GNAI1	0.037689027	0.09238827	0.469557006	0.084803099	0.001350997	0.004898833	0.000290009	0.111394	0.092454
RHOBTB3	0.037554821	0.036931656	0.002156366	0.065120325	0.00274648	0.017549312	0.000874606	-0.104721	0.001988
PAWR	0.034441611	0.047965045	1.54E-05	-0.030765204	0.000423835	0.000497614	0.000125096	-0.049558	0.019154
LRP12	0.030959367	0.036345569	0.00104231	0.027460162	0.001276826	0.015504221	0.000265513	-0.011456	0.053664
HSH2D	0.025719065	0.066532581	0.151617634	-0.027907545	0.00144384	0.007004685	0.000379547	0.068056	0.080751
KLF7	0.019364897	0.05809469	0.083584356	0.062728634	0.000499091	0.017913119	0.000713166	0.100718	0.089048
CTH	0.011231836	0.033695508	0.112223114	0.058507847	0.002306904	0.03254803	0.000806673	-0.054138	0.02994
GLB1L2	0.009109188	0.027327565	0.028646474	-0.030831379	0.00045875	0.02186617	0.000500198	0.028455	0.093585
IRAK1BP1	0.008255539	0.01722903	0.026213497	0.004125227	0.001475195	0.012471728	0.000283061	-0.037923	0.040377
HMMR	0	0	0.132778534	-0.002863135	0.002297895	0.013687398	0.001021713	-0.076682	0.030681
NAIP	0	0	0.70662207	0.026644389	0.000905242	0.010955376	0.000380366	-0.042787	0.006252
PDCD4	0	0	0.009426354	0.154301059	0.001795704	0.01585629	0.000426349	-0.030533	0.047231
PSAT1	0	0	0.013001884	0.098104593	0.003468308	0.005495385	0.000297247	-0.09669	0.007207
TRAP1	0	0	0.258093578	0.067919415	0.001848414	0.01220799	0.000866579	0.101136	0.093995
