	Repeatability	Repeatability SE	Fixed r^2	Fixed r^2 SE	cis Heritability	cis Heritability SE
HARS	0.110281158	0.010892748	3.45E-06	7.58E-06	0.016553	0.052503
TRAF3	0.111143489	0.006182218	4.26E-06	1.12E-05	-0.04131	0.004636
MAVS	0.115111309	0.010557932	3.82E-06	8.15E-06	-0.038392	0.004951
PCDHGC5	0.116279696	0.02606564	5.17E-06	3.80E-05		
OVOS	0.116379456	0.015650939	4.20E-06	1.91E-05	0.2934	0.105687
ATF2	0.11703941	0.008645177	3.62E-06	6.46E-06	-0.014464	0.063055
MAP2K4	0.118113922	0.010259519	6.53E-06	9.82E-06	0.065578	0.079918
IL28A	0.118427328	0.019401303	6.19E-06	3.80E-05	0.11203	0.095895
AMPD2	0.119487939	0.010500584	3.88E-06	8.56E-06	-0.102084	0.002111
IL33	0.121278265	0.013639849	7.71E-06	5.82E-05	0.028757	0.060033
TNC	0.121282135	0.008450454	4.13E-06	1.11E-05	0.262895	0.102458
PTX3	0.122011535	0.036326252	2.79E-05	0.000262154	-0.073402	0.014888
MAP2K3	0.123036055	0.005328062	1.22E-05	8.56E-05	0.10785	0.088673
GK	0.124652331	0.018336388	2.58E-06	5.06E-06	0.014957	0.058993
TRAF3IP2	0.124795319	0.00634975	1.16E-05	6.01E-05	0.223596	0.099925
SPTLC2	0.126027758	0.008532912	4.27E-06	9.19E-06	0.095781	0.088768
TRIM56	0.126231095	0.010788416	4.83E-06	1.91E-05	0.251557	0.106403
IFNA10	0.126812231	0.010203682	8.24E-06	5.53E-05	0.136336	0.09333
DDX58	0.128680188	0.021423171	1.01E-05	6.53E-05		
KCTD14	0.128861125	0.011879695	6.23E-06	2.37E-05	0.526498	0.100054
SCN3A	0.129747179	0.024795175	3.36E-06	1.65E-05	0.139026	0.087638
HPS1	0.130229927	0.012281402	3.55E-06	4.01E-06	0.556846	0.099781
IKBKB	0.130450319	0.017331795	4.22E-06	7.43E-06	0.14034	0.090298
ANKRD28	0.130505996	0.007415116	3.80E-06	9.99E-06	0.091332	0.077392
NFKBIZ	0.132284745	0.029699885	1.10E-05	7.91E-05		
JAK1	0.132504702	0.008516609	3.68E-06	9.65E-06	0.078916	0.076541
NFKBIB	0.132702579	0.008035032	3.88E-06	9.28E-06	0.537962	0.102297
FAM120AOS	0.132860836	0.006207832	3.35E-06	5.15E-06	0.232785	0.109742
UBE2N	0.133064943	0.028589845	1.70E-06	7.22E-06		
TSPAN13	0.133218868	0.016561448	3.79E-06	6.65E-06	0.381987	0.105892
IFNA17	0.133349044	0.021541942	3.53E-06	1.74E-05	0.135638	0.097798
TRIM25	0.133450803	0.009052162	5.55E-06	2.65E-05		
APOBEC3A	0.133772536	0.014073992	3.59E-06	1.57E-05	0.305172	0.105844
DSP	0.13413551	0.015051932	3.41E-06	1.71E-05	0.323518	0.102378
TBK1	0.134406466	0.00668759	6.09E-06	1.56E-05	0.745559	0.075766
HRH4	0.134943245	0.019052181	5.02E-06	6.13E-06		
MAPK14	0.136428363	0.006654475	3.40E-06	6.32E-06		
IRAK4	0.13706882	0.005004844	7.80E-06	1.44E-05	0.201102	0.100684
IFNA21	0.138116082	0.00962687	8.76E-06	4.91E-05	0.446645	0.106198
NCRNA00152	0.138193401	0.008071575	3.88E-06	8.33E-06		
CASP5	0.13864852	0.012232305	3.90E-06	2.09E-05	0.078704	0.073782
PTMA	0.139128764	0.006627085	3.55E-06	5.34E-06	0.097388	0.100925
EMR1	0.139696174	0.010976307	3.34E-06	1.57E-05	-0.00426	0.035722
PLK2	0.139868877	0.013236008	2.74E-06	6.99E-06	0.042825	0.061921
FCGR1A	0.140441157	0.009314074	7.02E-06	4.32E-05	0.182598	0.091889
ASPHD2	0.14071053	0.030849568	1.73E-06	4.85E-06	-0.072887	0.005525
TMEM178	0.141112968	0.014442616	3.60E-06	2.61E-05	-0.031967	0.059509
TICAM1	0.142540737	0.009873009	3.58E-06	1.05E-05	-0.059233	0.004562
IFIT2	0.14456457	0.039053279	1.02E-05	7.48E-05		
UNC5C	0.145932921	0.021714941	3.16E-06	1.24E-05	0.253348	0.116399
MGC57346	0.146112271	0.014328062	4.00E-06	1.36E-05	0.702869	0.073337
MEFV	0.147155559	0.011871866	4.11E-06	2.18E-05	0.010016	0.088695
PEX16	0.148661726	0.007528952	4.31E-06	1.69E-05	0.087406	0.087105
IFNAR1	0.148915554	0.008712302	3.10E-06	8.03E-06	0.597223	0.089597
ABCF1	0.149891153	0.00433318	3.56E-06	8.87E-06	0.775031	0.058469
HSPA4L	0.152157193	0.009937428	7.11E-06	7.23E-06	0.547948	0.105937
TIRAP	0.153715213	0.008132886	4.21E-06	1.01E-05	-0.005979	0.070704
CHUK	0.156165285	0.016683184	3.03E-06	5.93E-06	-0.038118	0.026068
SSTR2	0.156238658	0.036541853	2.16E-06	8.99E-06	-0.009436	0.055724
C17orf48	0.156915899	0.005890144	4.16E-06	1.23E-05		
IFNA5	0.157380491	0.023126991	3.42E-06	2.00E-05	0.073337	0.086526
IFNA2	0.158053908	0.014714686	6.92E-06	4.16E-05	0.332446	0.104373
TLK2	0.158606513	0.009649743	3.16E-06	7.13E-06	-0.023524	0.006604
MAPK3	0.159223827	0.008740613	3.62E-06	8.71E-06	0.307865	0.109692
IRF1	0.159448191	0.021037732	8.70E-06	6.04E-05	0.33787	0.109361
ATRIP	0.159816581	0.01122491	5.67E-06	1.88E-05	-0.017584	0.058867
PLAT	0.161780802	0.012500584	4.52E-06	1.60E-05	0.165292	0.095252
TRAF1	0.161954994	0.016846918	6.52E-06	2.15E-05	0.081703	0.094252
HIVEP2	0.163214112	0.014057914	7.10E-06	3.37E-05	0.044077	0.071426
CLEC4D	0.164874086	0.006868249	4.14E-06	1.60E-05	-0.072623	0.000298
HIRA	0.16496126	0.007649671	3.11E-06	1.13E-05	0.052771	0.062207
TNF	0.165179598	0.022357712	5.54E-06	2.83E-05	0.076511	0.085375
NIPAL4	0.166494782	0.013492884	7.68E-06	4.90E-05	0.049892	0.079415
UNKL	0.16726101	0.017396392	3.35E-06	8.82E-06	0.032726	0.075641
MAPK1	0.168889092	0.006428139	2.73E-06	3.59E-06	0.385455	0.112942
SLC8A1	0.169400636	0.008408669	4.08E-06	9.24E-06		
FADD	0.169880598	0.004454333	3.18E-06	8.57E-06	0.753063	0.062696
ABHD10	0.169916862	0.009222961	4.46E-06	1.13E-05	-0.074406	0.00002
GTPBP2	0.172023488	0.006302015	3.59E-06	7.32E-06	0.041868	0.073508
IL1F9	0.172404589	0.029669514	3.08E-06	1.36E-05	-0.089263	0.003217
KIAA0040	0.172608381	0.005808395	3.61E-06	1.34E-05	-0.111172	0.021686
UBE2E1	0.173092462	0.017672961	6.19E-06	2.48E-05		
ANKRD22	0.174363878	0.012315817	6.05E-06	3.49E-05	0.045174	0.098127
IFNAR2	0.174522751	0.006083599	3.81E-06	6.07E-06	0.522049	0.105141
RBM6	0.175606256	0.009137455	4.59E-06	6.66E-06	-0.00111	0.066142
ABCD2	0.175904674	0.007383218	4.36E-06	2.00E-05	-0.084222	0.020277
LRRFIP1	0.176035518	0.005925191	3.39E-06	5.40E-06	0.579557	0.096889
IFIT5	0.176655115	0.018292951	8.89E-06	3.36E-05	0.72691	0.07246
IFNA13	0.180272335	0.021472536	8.05E-06	4.31E-05	-0.042359	0.062569
LTA	0.18046976	0.010580717	5.92E-06	2.74E-05	-0.043635	0.00445
IFNA14	0.181908822	0.024818354	3.91E-06	1.91E-05	-0.04695	0.000022
PDCD1	0.182752436	0.015285667	4.47E-06	1.94E-05	0.041537	0.059657
TAB3	0.184092052	0.006775713	5.37E-06	6.82E-06	0.166127	0.097015
VAV2	0.184214077	0.006948472	4.07E-06	7.17E-06	-0.038448	0.05796
CKB	0.184595438	0.00868431	7.15E-06	2.26E-05	-0.016747	0.008656
NMI	0.18496371	0.007251891	3.36E-06	6.17E-06	-0.055993	0.043743
NLRX1	0.184973119	0.009863798	3.19E-06	7.26E-06	-0.071017	0.001585
FAM135A	0.185221319	0.006964853	6.57E-06	8.36E-06	-0.003175	0.067612
CARD8	0.186431928	0.008478996	3.95E-06	9.70E-06	0.220234	0.102476
TLR9	0.186740179	0.020922694	5.24E-06	3.95E-05	-0.027668	0.076181
MAP2K1	0.189022164	0.007624293	5.34E-06	1.49E-05	-0.040127	0.049134
MED30	0.190687177	0.008472136	4.01E-06	8.40E-06		
IL7	0.190739338	0.024481389	5.28E-06	3.06E-05	0.137967	0.091114
FGD4	0.191770013	0.012931662	3.40E-06	5.79E-06	-0.055	0.043095
IFNA16	0.196413587	0.014138593	6.99E-06	3.73E-05	0.293206	0.109241
MUC2	0.197001621	0.020901649	1.87E-05	0.000179038	0.05744	0.061424
GNAS	0.198094148	0.0055449	5.46E-06	7.57E-06	-0.143224	0.020083
TNFSF10	0.198153642	0.023027865	8.47E-06	5.55E-05	0.01038	0.051729
UNC93B1	0.198813797	0.008894165	5.07E-06	8.88E-06	0.024972	0.051651
BCL2A1	0.200139755	0.017977504	7.01E-06	2.90E-05	0.026058	0.070259
UST	0.200237382	0.009764035	5.25E-06	2.10E-05	0.402059	0.106393
MFN1	0.201590426	0.011668826	3.70E-06	9.21E-06	0.604661	0.086592
FRG2	0.2025043	0.015693311	7.89E-06	3.06E-05	0.00731	0.059022
GAPDH	0.203514408	0.005939803	5.27E-06	7.80E-06	0.037475	0.065705
IL12B	0.203943861	0.01363516	3.02E-06	7.35E-06	-0.02236	0.04649
FAS	0.204034089	0.01364501	3.27E-06	8.84E-06	-0.071581	0.015428
IL10	0.204478902	0.010648966	7.53E-06	4.46E-05	0.003462	0.057117
IKBKG	0.206116253	0.010619929	4.06E-06	9.88E-06	-0.066648	0.01371
HMGB1	0.206715771	0.007722766	3.53E-06	7.86E-06	0.053044	0.073661
RAB7L1	0.20741142	0.008178527	5.75E-06	7.34E-06	-0.036157	0.040049
IL15	0.207640642	0.011386833	6.68E-06	1.45E-05	-0.078803	0.000052
TNFRSF10A	0.208701378	0.006720464	3.03E-06	4.45E-06	0.070144	0.082556
NDP	0.208897842	0.010839351	6.76E-06	2.15E-05	0.101535	0.088815
RIPK1	0.213146445	0.006618068	5.18E-06	1.45E-05	0.085839	0.080996
VCAM1	0.213329002	0.016498173	6.60E-06	4.42E-05	0.059226	0.072605
IFNE	0.213654556	0.016509402	6.00E-06	2.05E-05	0.128971	0.093527
MAPK8	0.214856798	0.006704443	3.25E-06	5.01E-06	0.010407	0.068559
PRRG4	0.215267101	0.007878031	5.20E-06	8.85E-06	0.013251	0.057951
SCLT1	0.220674885	0.007570761	4.25E-06	5.47E-06	-0.036318	0.032446
CD86	0.222601557	0.009353203	4.08E-06	1.24E-05	0.066837	0.075456
ZFY	0.224273693	0.009353682	7.46E-06	3.06E-05		
NFKB1	0.224893952	0.017066809	5.87E-06	1.31E-05	0.025775	0.061162
ZNF280D	0.225986359	0.008340531	4.77E-06	6.73E-06	0.068613	0.069759
MVK	0.227675049	0.008583135	2.91E-06	5.45E-06	-0.004166	0.061403
C12orf23	0.227814715	0.009826502	3.73E-06	8.51E-06	0.064559	0.089637
EHD1	0.229358675	0.02021028	8.32E-06	4.63E-05	0.073158	0.077046
TLR3	0.230976321	0.00971203	5.19E-06	1.18E-05	0.012715	0.055151
EIF4E3	0.232359688	0.007038627	5.58E-06	1.41E-05	0.002208	0.047424
TNFAIP3	0.232599631	0.01584679	4.92E-06	1.70E-05	0.002873	0.047533
SEMA3A	0.232731077	0.010940626	4.12E-06	1.38E-05	0.569166	0.091451
HPSE	0.232735212	0.014451654	3.13E-06	4.55E-06	0.046891	0.062102
IKBKE	0.233101694	0.014043853	3.97E-06	9.61E-06	-0.054447	0.037445
OR52K3P	0.233141705	0.015533211	9.51E-06	6.30E-05	-0.095592	0.004714
CUL4A	0.236975225	0.010555688	3.51E-06	1.25E-05	-0.061623	0.034716
TNFSF15	0.237177538	0.014937799	4.77E-06	1.67E-05	0.046985	0.100188
FBN2	0.238176769	0.026602131	3.06E-06	1.14E-05	-0.074	0.033887
IFIH1	0.238190395	0.010714764	6.59E-06	3.59E-05	0.152643	0.106854
PPP6C	0.238673541	0.007645106	3.84E-06	1.49E-05	0.029144	0.07854
PTGER2	0.238734907	0.034855752	6.91E-06	4.14E-05	-0.008392	0.042048
C1orf150	0.240654789	0.017137375	3.23E-06	7.73E-06		
MYD88	0.24073184	0.008620438	3.80E-06	9.64E-06	-0.059924	0.041213
FRG2B	0.241832941	0.009998348	1.34E-05	7.81E-05	-0.057913	0.018767
ATF3	0.243794173	0.019099595	6.15E-06	2.66E-05		
RBM43	0.244628097	0.008120107	6.83E-06	1.13E-05	0.116032	0.09487
GBP1	0.245035266	0.019421744	7.93E-06	4.41E-05	0.535631	0.095298
C3orf59	0.24576883	0.008517904	4.74E-06	9.94E-06	0.165061	0.092963
ATG9A	0.246094011	0.006023875	2.82E-06	6.25E-06	0.0226	0.109485
SNORD3A	0.247378598	0.009822319	4.43E-06	1.04E-05	-0.008988	0.070477
HBEGF	0.248221038	0.0109867	4.26E-06	1.10E-05	-0.033311	0.047454
C5	0.24831204	0.017844724	2.96E-06	1.36E-05	0.100116	0.09537
PTK2B	0.249510553	0.008874542	4.54E-06	8.20E-06	-0.108258	0.00198
CXorf21	0.249754687	0.00768233	4.64E-06	9.40E-06	0.036305	0.091482
HIST2H2BE	0.250382063	0.008110445	6.92E-06	1.82E-05	0.180224	0.099768
CCDC146	0.250480153	0.009219228	3.41E-06	7.76E-06	0.005444	0.048539
CASP7	0.253118518	0.007828331	5.20E-06	1.11E-05	-0.034352	0.012246
CREB1	0.254461577	0.0077078	4.17E-06	1.35E-05	0.016741	0.080351
GRAMD1B	0.254981351	0.014859749	5.12E-06	7.11E-06	0.071961	0.100842
CYP27B1	0.256141873	0.012466693	5.63E-06	2.26E-05	0.709679	0.083944
FZD3	0.256820617	0.010461382	4.42E-06	5.26E-06	-0.034124	0.085856
TANK	0.258115167	0.014054577	4.14E-06	8.51E-06	0.34027	0.11389
FRMD3	0.258341753	0.01558021	7.16E-06	3.36E-05	-0.048931	0.055387
COBLL1	0.258889867	0.014385573	3.47E-06	1.03E-05	0.468627	0.128473
KMO	0.259936944	0.01565303	5.09E-06	1.40E-05	0.094784	0.089666
NFKB2	0.261802976	0.011984914	5.34E-06	1.15E-05	-0.020425	0.04721
ATP10A	0.262607508	0.017612065	3.69E-06	8.08E-06	0.124929	0.118147
DDX3Y	0.26602512	0.022653485	8.03E-06	4.52E-05	0.654834	0.09235
JAK2	0.269187176	0.009265033	2.96E-06	6.49E-06	0.154747	0.089542
TNFSF8	0.270444451	0.006660013	1.08E-05	7.12E-05	0.123322	0.099756
TRAF6	0.27050703	0.005747016	3.55E-06	6.73E-06	0.038737	0.05888
BRIP1	0.271505125	0.008489184	4.84E-06	1.08E-05	-0.040021	0.048654
RELB	0.271666838	0.008568794	4.84E-06	8.42E-06		
SCG3	0.271856971	0.009674083	9.98E-06	4.97E-05	0.082762	0.086024
PTPN1	0.274500004	0.008300353	6.51E-06	2.41E-05	0.058357	0.097066
IL23A	0.276269629	0.015265874	7.76E-06	4.96E-05	0.042377	0.061375
CPNE1	0.278483974	0.009504886	2.94E-06	4.32E-06	0.126198	0.105772
IL12RB1	0.278715902	0.007262228	3.27E-06	4.09E-06	-0.035284	0.056384
TLR7	0.279284412	0.015097953	4.70E-06	1.91E-05	-0.016253	0.066653
EIF1AY	0.283165098	0.011043552	7.55E-06	2.63E-05	0.115615	0.094727
STAP1	0.284865045	0.013725104	4.76E-06	9.77E-06	0.170099	0.09488
OTOF	0.287122658	0.017201568	3.19E-06	8.89E-06		
CASP1	0.287209539	0.011970264	3.88E-06	6.45E-06	0.069705	0.066719
HMBS	0.287490549	0.009046806	3.62E-06	5.77E-06	-0.029465	0.041818
TMEM217	0.288323898	0.034526627	2.82E-06	1.06E-05	0.062204	0.070503
STAT6	0.290577266	0.01008962	2.15E-06	4.10E-06	0.051769	0.094125
STAT3	0.290845929	0.00811808	4.32E-06	9.01E-06	0.294477	0.106401
SIGLEC9	0.291671076	0.009283555	4.04E-06	8.00E-06	-0.020965	0.061562
TLR2	0.292751543	0.016552155	5.34E-06	2.23E-05	0.128762	0.093901
GCOM1	0.292941745	0.010193008	5.70E-06	7.38E-06	0.590014	0.088146
RNF149	0.298932004	0.007402469	5.09E-06	7.89E-06	0.415007	0.114138
DTX4	0.301704784	0.022383457	2.88E-06	6.87E-06		
AP2A2	0.302926063	0.00831249	4.57E-06	6.65E-06	0.802547	0.053909
OSM	0.307515199	0.014592306	3.38E-06	7.79E-06	0.584149	0.092495
NUPR1	0.310744867	0.016108131	7.14E-06	2.98E-05	0.298734	0.104436
JUN	0.310865597	0.010844763	3.04E-06	4.92E-06	0.357362	0.116863
MCOLN2	0.3112912	0.01394658	6.23E-06	1.34E-05	-0.057729	0.043031
PGAP1	0.31192923	0.014926513	6.82E-06	4.46E-05	-0.031159	0.038081
OTUD5	0.312147971	0.006974189	4.09E-06	7.83E-06	-0.023924	0.094529
SAMHD1	0.312238345	0.015646821	2.99E-06	6.93E-06	-0.0052	0.050708
MAP2K2	0.312851289	0.008612214	3.24E-06	4.83E-06	-0.035979	0.062772
GSTM3	0.3187979	0.020225115	6.92E-06	3.63E-05	-0.127404	0.002536
STAT2	0.323894375	0.00693435	4.57E-06	1.06E-05	-0.063336	0.001554
EAF2	0.324488641	0.014713922	3.72E-06	7.62E-06		
TMEM229B	0.325364919	0.013766889	2.96E-06	4.62E-06	0.262033	0.107636
IRF9	0.326417135	0.007408603	4.63E-06	8.25E-06	0.089835	0.076113
TMEM86A	0.329046381	0.010631546	3.97E-06	6.94E-06	-0.008239	0.028061
CD69	0.329144483	0.015291537	4.65E-06	2.20E-05	-0.035863	0.02623
NFE2L3	0.329326558	0.012906016	6.27E-06	2.27E-05	0.128412	0.090908
LRP12	0.33171364	0.008848716	5.59E-06	1.71E-05	-0.038933	0.03233
CD40	0.332665656	0.011747758	4.85E-06	7.74E-06	0.452302	0.101356
TYK2	0.333325453	0.008776442	4.28E-06	7.68E-06	0.068017	0.074501
MYLIP	0.333828502	0.008043107	4.04E-06	5.31E-06	-0.074398	0.026315
PSTPIP1	0.33973602	0.007303309	3.39E-06	4.28E-06	-0.056643	0.034263
TLR4	0.343605069	0.010468766	3.29E-06	5.25E-06	0.21857	0.098448
TEC	0.344538215	0.009349925	3.79E-06	1.01E-05	0.140586	0.099053
IRF8	0.346738456	0.011314891	4.09E-06	8.40E-06	0.021992	0.04829
NT5DC2	0.348493096	0.014065627	3.91E-06	1.10E-05	0.134784	0.090224
IRF7	0.350098633	0.013441811	5.13E-06	1.93E-05	0.298409	0.107699
CTLA4	0.351312654	0.011700677	3.48E-06	1.16E-05	0.053185	0.068024
NCAM1	0.352569908	0.016062002	6.58E-06	4.33E-05	-0.063136	0.000659
IRF5	0.35426882	0.01151087	3.44E-06	5.37E-06	0.008117	0.061639
MAP2K6	0.354669072	0.008172344	4.72E-06	5.71E-06	0.051335	0.078112
C9orf30	0.35590465	0.011342084	3.77E-06	7.58E-06	0.253466	0.102241
TGFB1	0.357108035	0.007485539	3.63E-06	5.57E-06	-0.05983	0.003525
IL4R	0.357535006	0.006661041	3.63E-06	8.16E-06	0.140703	0.086866
NFKBIA	0.360507402	0.014094186	3.89E-06	1.23E-05		
TLR1	0.361554562	0.013619539	4.53E-06	7.14E-06	0.16215	0.098228
IL2RA	0.361825204	0.014937264	7.75E-06	3.37E-05	0.234038	0.104001
C6orf192	0.365776861	0.013152698	5.09E-06	1.66E-05	-0.087055	0.042917
CCDC109B	0.366171693	0.009477354	3.07E-06	5.70E-06	0.009508	0.057773
ATP1B1	0.366728797	0.011800925	3.79E-06	9.21E-06	-0.000591	0.041391
DAPP1	0.36998371	0.010886542	6.24E-06	8.33E-06	-0.0178	0.045122
NOD2	0.371612823	0.007940736	4.25E-06	1.20E-05	0.021985	0.049106
DCTN5	0.373264212	0.007886431	3.68E-06	4.94E-06	-0.006775	0.067444
HELB	0.37331278	0.006947099	3.53E-06	6.20E-06	-0.046799	0.056613
SLCO5A1	0.374299406	0.013440094	5.81E-06	1.52E-05	0.138731	0.10019
CH25H	0.377278658	0.018292001	2.81E-06	6.80E-06	0.457841	0.109361
CLECL1	0.37796404	0.008436635	4.25E-06	5.59E-06	-0.052423	0.02567
ADCY3	0.378754344	0.012786286	3.47E-06	7.41E-06	0.093912	0.073645
BCL2L14	0.380360068	0.010732147	5.95E-06	2.17E-05	0.076055	0.086039
APOL3	0.382075959	0.011429715	5.39E-06	1.61E-05	-0.025434	0.026471
CCL7	0.383917076	0.01024703	5.99E-06	2.43E-05	0.061622	0.075577
RRS1	0.384367788	0.008388467	4.10E-06	7.21E-06	0.108566	0.07677
CD2AP	0.386248428	0.010828602	3.99E-06	5.72E-06	0.105474	0.088906
DCBLD1	0.388392242	0.009709201	4.72E-06	6.57E-06	0.068343	0.086955
LGALS3BP	0.391949912	0.009248445	3.87E-06	5.39E-06	-0.215458	0.00086
RGS2	0.392546378	0.009045094	3.89E-06	6.23E-06	-0.030078	0.065787
KLF4	0.396391195	0.010060448	4.98E-06	8.77E-06	0.064678	0.070875
ZFYVE16	0.39729948	0.009627284	3.40E-06	5.78E-06	0.075857	0.066762
REL	0.398015621	0.008015077	4.94E-06	9.75E-06	0.234234	0.104094
DGKH	0.401899411	0.007117734	4.36E-06	4.61E-06	0.014319	0.055161
TNFRSF1A	0.402198303	0.009056549	3.49E-06	5.05E-06	0.381621	0.119523
SLC41A2	0.404847747	0.010106906	3.91E-06	8.40E-06	-0.030221	0.031654
ANXA3	0.405634283	0.01215825	8.00E-06	1.64E-05	0.054277	0.061498
SLC46A3	0.407632868	0.008788465	4.31E-06	6.81E-06	0.044175	0.079815
TLR5	0.408675469	0.010217596	3.64E-06	7.14E-06	0.035432	0.063931
CARD9	0.411393166	0.011825609	3.36E-06	5.21E-06	0.138527	0.087914
IL1B	0.411447249	0.028250817	5.44E-06	2.61E-05	-0.015811	0.064553
ST8SIA6	0.414359343	0.008858923	2.96E-06	5.34E-06	0.013122	0.086111
CSF2RA	0.415158513	0.007499475	4.31E-06	7.06E-06	-0.062948	0.076092
RGS1	0.416423475	0.01439633	4.72E-06	1.88E-05	0.088451	0.073658
DUSP6	0.418278338	0.007914611	3.31E-06	5.13E-06	0.072846	0.076703
ACP5	0.420452379	0.008983161	3.59E-06	6.20E-06	0.028502	0.052672
MICA	0.420953439	0.005900042	5.32E-06	1.37E-05	0.152634	0.085955
SLC7A5	0.423072989	0.006752334	4.23E-06	1.52E-05		
RHOH	0.423258505	0.015007456	3.91E-06	9.83E-06	0.07084	0.071015
CDC37	0.424810192	0.012200465	4.40E-06	4.09E-06	0.049103	0.066616
GP1BA	0.428750359	0.014921054	4.53E-06	9.60E-06	0.238616	0.098929
PYCARD	0.429561577	0.0089993	2.45E-06	4.27E-06	-0.069617	0.008536
CCR7	0.433195576	0.009993332	5.57E-06	1.42E-05	0.073648	0.068071
NRIP3	0.434626307	0.00883852	3.41E-06	7.11E-06	0.060651	0.102094
SLFN5	0.435421315	0.007589975	4.11E-06	6.31E-06	-0.079393	0.004494
STAT4	0.436488115	0.011870261	4.64E-06	1.25E-05	-0.114716	0.022772
PIM1	0.43729499	0.009559058	6.35E-06	7.88E-06	0.218425	0.100033
